benchmark_episode,benchmark_episode_total,global_episode_id,scenario_id,scenario_code,scenario_name,outcome,duration_seconds,mission_success,collisions,completed_parcel_tasks,total_parcel_tasks,battery_level,final_task_stage
1,1,2,2,"A2","Robot Trapped by Moving Obstacles","COLLISION_FORKLIFT",3.289,False,0,0,3,99.93,"Complete"
1,1,3,3,"A3","Encoder Drift / Localization Error","TIMEOUT",180.001,False,0,0,3,96.40,"NavigateToSource"
1,15,4,1,"A1","Sudden Human Crossing During Delivery","TIMEOUT",180.000,False,0,0,3,96.40,"NavigateToSource"
2,15,5,2,"A2","Robot Trapped by Moving Obstacles","COLLISION_FORKLIFT",3.271,False,0,0,3,99.93,"Complete"
3,15,6,3,"A3","Encoder Drift / Localization Error","TIMEOUT",180.001,False,0,0,3,96.40,"NavigateToSource"
1,1,1,1,"A1","Sudden Human Crossing During Delivery","COLLISION_FORKLIFT",75.680,False,0,1,3,97.52,"Complete"
1,1,1,2,"A2","Robot Trapped by Moving Obstacles","TIMEOUT",120.000,False,0,0,3,95.13,"NavigateToDestination"
1,1,2,3,"A3","Encoder Drift / Localization Error","COLLISION_FORKLIFT",75.082,False,0,1,3,97.52,"Complete"
1,1,1,1,"A1","Sudden Human and Forklift Crossing During Delivery","TIMEOUT",120.000,False,0,2,3,95.70,"NavigateToDestination"
1,1,1,3,"A3","Encoder Drift / Localization Error","TIMEOUT",120.000,False,0,2,3,96.22,"NavigateToDestination"
1,1,1,1,"A1","Sudden Human Crossing During Loaded Delivery","TIMEOUT",120.000,False,0,2,3,95.70,"NavigateToDestination"
1,1,1,1,"A1","Sudden Human Crossing During Loaded Delivery","COLLISION_HUMAN",13.777,False,1,0,3,99.67,"Complete"
1,1,1,1,"A1","Sudden Human Crossing and Collision","COLLISION_HUMAN",5.498,False,1,0,3,99.89,"Complete"
1,1,1,1,"A1","Sudden Human Crossing and Collision","COLLISION_HUMAN",5.496,False,1,0,3,99.89,"Complete"
1,1,1,1,"A1","Sudden Human Crossing and Collision","COLLISION_HUMAN",17.981,False,1,0,3,99.49,"Complete"
1,1,1,1,"A1","Sudden Human Crossing and Collision","COLLISION_HUMAN",17.760,False,1,0,3,99.49,"Complete"
1,1,2,1,"A1","Sudden Human Crossing and Collision","TIMEOUT",120.000,False,0,2,3,95.58,"NavigateToDestination"
1,1,1,1,"A1","Blind Rack-Turn Human Collision","COLLISION_HUMAN",28.636,False,1,0,3,98.88,"Complete"
1,1,1,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.217,False,1,0,3,98.23,"Complete"
1,1,1,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.136,False,1,0,3,98.23,"Complete"
1,1,2,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",42.967,False,1,0,3,98.24,"Complete"
1,1,1,6,"E1","Unexpected Aisle Blockage","TIMEOUT",30.000,False,0,0,3,99.40,"NavigateToSource"
1,1,2,7,"E2","High-Density Human Crossing","TIMEOUT",120.000,False,0,2,3,95.70,"NavigateToDestination"
1,1,5,5,"A5","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",28.284,False,0,0,3,98.90,"Complete"
1,1,1,3,"A3","Dynamic Path Obstruction After Route Commitment","TIMEOUT",120.000,False,0,0,3,94.77,"NavigateToDestination"
1,1,4,6,"E1","Unexpected Aisle Blockage","TIMEOUT",30.000,False,0,0,3,99.40,"NavigateToSource"
1,1,5,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.251,False,1,0,3,98.22,"Complete"
