scenario_id,episode_id,episode_duration,path_length,navigation_time,collision_count,goal_success,final_distance_to_goal,average_velocity,max_velocity,number_of_stops,replanning_events,completion_status
1,1,28.381,0.000,28.381,0,False,47.404,1.384,2.790,0,0,COLLISION_HUMAN
1,1,28.443,0.000,28.443,0,False,47.421,1.387,9.073,0,0,COLLISION_HUMAN
1,1,28.448,0.000,28.448,0,False,47.424,1.375,6.985,0,0,COLLISION_HUMAN
2,2,180.003,13.254,180.003,0,False,9.072,0.085,2.740,1,0,TIMEOUT
3,3,180.002,39.401,180.002,0,False,18.216,0.508,6.343,2,1,TIMEOUT
4,4,28.445,0.000,28.445,0,False,47.423,1.389,2.608,0,0,COLLISION_HUMAN
5,5,10.067,0.000,10.067,0,False,8.671,1.291,3.846,0,0,COLLISION_HUMAN
6,6,180.002,8.639,180.002,0,False,26.848,0.725,4.101,4,3,TIMEOUT
7,7,28.494,0.000,28.494,0,False,47.407,1.380,11.155,0,0,COLLISION_HUMAN
8,8,180.000,13.281,180.000,0,False,9.099,0.065,2.522,1,0,TIMEOUT
2,2,3.289,0.000,3.289,0,False,20.617,1.075,2.500,0,0,COLLISION_FORKLIFT
3,3,180.001,33.694,180.001,0,False,12.853,0.177,2.514,0,0,TIMEOUT
1,4,180.000,30.792,180.000,0,False,12.732,0.164,2.938,0,0,TIMEOUT
2,5,3.271,0.000,3.271,0,False,20.629,1.090,2.579,0,0,COLLISION_FORKLIFT
3,6,180.001,33.695,180.001,0,False,12.853,0.186,2.833,0,0,TIMEOUT
1,1,75.680,0.000,75.680,0,False,33.658,1.430,13.815,0,0,COLLISION_FORKLIFT
2,1,120.000,31.916,120.000,0,False,17.528,0.601,11.867,1,0,TIMEOUT
3,2,75.082,0.000,75.082,0,False,33.654,1.431,5.330,0,0,COLLISION_FORKLIFT
1,1,120.000,5.563,120.000,0,False,27.215,1.391,11.593,0,0,TIMEOUT
3,1,120.000,1.307,120.000,0,False,28.720,0.954,12.414,1,0,TIMEOUT
1,1,120.000,8.062,120.000,0,False,24.718,1.409,12.296,0,0,TIMEOUT
1,1,13.777,0.000,13.777,1,False,9.077,1.343,12.656,0,0,COLLISION_HUMAN
1,1,5.498,0.000,5.498,1,False,4.130,1.543,15.622,0,0,COLLISION_HUMAN
1,1,5.496,0.000,5.496,1,False,4.136,1.505,7.788,0,0,COLLISION_HUMAN
1,1,17.981,0.000,17.981,1,False,7.642,1.448,7.608,0,0,COLLISION_HUMAN
1,1,17.760,0.000,17.760,1,False,7.642,1.390,4.423,0,0,COLLISION_HUMAN
1,2,120.000,15.520,120.000,0,False,17.256,1.432,4.007,0,0,TIMEOUT
1,1,28.636,0.000,28.636,1,False,20.997,1.424,6.039,0,0,COLLISION_HUMAN
1,1,43.217,0.000,43.217,1,False,38.156,1.418,8.855,0,0,COLLISION_HUMAN
1,1,43.136,0.000,43.136,1,False,38.174,1.417,6.090,0,0,COLLISION_HUMAN
1,2,42.967,0.000,42.967,1,False,38.216,1.419,3.067,0,0,COLLISION_HUMAN
6,1,30.000,12.534,30.000,0,False,16.420,0.424,3.262,1,0,TIMEOUT
7,2,120.000,7.557,120.000,0,False,25.218,1.428,2.771,0,0,TIMEOUT
5,5,28.284,32.120,28.284,0,False,32.984,1.423,2.503,0,0,WRONG_PLACEMENT
3,1,120.000,7.448,120.000,0,False,25.023,0.219,8.355,1,0,TIMEOUT
6,4,30.000,12.514,30.000,0,False,16.433,0.425,2.880,1,0,TIMEOUT
1,5,43.251,0.000,43.251,1,False,38.152,1.403,3.601,0,0,COLLISION_HUMAN
5,9,28.320,32.134,28.320,0,False,32.992,1.407,3.846,0,0,WRONG_PLACEMENT
1,1,40.162,0.000,40.162,1,False,38.929,1.377,16.283,0,0,COLLISION_HUMAN
1,2,40.134,0.000,40.134,1,False,38.933,1.377,3.540,0,0,COLLISION_HUMAN
7,1,38.566,0.000,38.566,1,False,27.690,1.452,2.816,0,0,COLLISION_HUMAN
7,2,38.580,0.000,38.580,1,False,27.701,1.468,2.568,0,0,COLLISION_HUMAN
10,4,120.000,46.779,120.000,0,False,23.461,1.375,3.800,1,0,TIMEOUT
10,5,120.000,46.726,120.000,0,False,23.455,1.359,6.430,1,0,TIMEOUT
1,15,32.894,29.984,32.894,1,False,17.178,0.604,21.563,1,0,COLLISION_FORKLIFT
1,16,33.006,29.621,33.006,1,False,17.175,0.514,9.450,1,0,COLLISION_FORKLIFT
2,17,30.632,25.893,30.632,1,False,12.170,0.443,2.716,1,0,COLLISION_FORKLIFT
12,20,23.938,13.446,23.938,0,True,1.707,0.473,3.836,0,0,SUCCESS
1,22,32.484,29.623,32.484,1,False,17.174,0.932,4.271,1,0,COLLISION_FORKLIFT
4,23,40.479,33.974,40.479,0,False,32.406,0.707,3.271,0,0,WRONG_PLACEMENT
1,24,32.847,29.609,32.847,1,False,17.169,0.924,2.916,1,0,COLLISION_FORKLIFT
2,25,30.928,26.000,30.928,1,False,25.200,0.790,3.631,1,0,COLLISION_FORKLIFT
3,26,18.940,11.978,18.940,1,False,27.256,0.728,1.904,1,0,COLLISION_FORKLIFT
5,28,120.000,34.496,120.000,0,False,32.045,0.306,3.704,2,1,TIMEOUT
2,29,32.543,25.975,32.543,1,False,25.203,0.706,2.500,1,1,COLLISION_FORKLIFT
6,30,27.304,13.099,27.304,0,True,0.050,0.509,2.212,0,0,SUCCESS
1,31,32.455,29.619,32.455,1,False,17.179,0.892,9.219,1,0,COLLISION_FORKLIFT
2,32,30.559,25.958,30.559,1,False,25.203,0.793,2.668,1,0,COLLISION_FORKLIFT
4,34,38.608,33.952,38.608,0,False,32.406,0.923,20.000,0,0,WRONG_PLACEMENT
1,35,34.357,29.624,34.357,1,False,17.182,0.832,2.500,1,0,COLLISION_FORKLIFT
12,37,21.560,12.649,21.560,0,True,0.050,0.627,2.500,0,0,SUCCESS
13,38,60.583,56.168,60.583,0,True,0.050,0.957,2.500,1,1,SUCCESS
1,40,43.443,42.830,43.443,1,False,28.086,0.956,3.394,0,0,COLLISION_HUMAN
1,41,45.029,42.399,45.029,1,False,27.844,0.966,2.611,1,0,COLLISION_HUMAN
5,42,18.997,26.160,18.997,1,False,27.050,1.271,4.645,2,1,COLLISION_HUMAN
6,43,27.247,13.098,27.247,0,True,0.050,0.510,2.355,0,0,SUCCESS
1,44,43.677,42.313,43.677,1,False,27.802,0.571,2.840,2,1,COLLISION_HUMAN
2,45,30.768,25.967,30.768,1,False,25.203,0.429,2.637,1,0,COLLISION_FORKLIFT
3,46,18.875,11.908,18.875,1,False,27.263,0.441,2.500,1,0,COLLISION_FORKLIFT
5,48,18.691,26.202,18.691,1,False,27.096,0.844,3.013,2,1,COLLISION_HUMAN
5,49,18.919,26.162,18.919,1,False,27.055,1.064,16.224,2,1,COLLISION_HUMAN
5,50,18.630,26.190,18.630,1,False,27.097,1.232,4.480,2,1,COLLISION_HUMAN
6,52,25.515,13.096,25.515,0,True,0.050,0.511,9.498,0,0,SUCCESS
6,54,25.783,13.094,25.783,0,True,0.050,0.523,2.297,0,0,SUCCESS
8,56,2.335,0.000,2.335,0,False,36.331,0.658,2.179,0,0,BARCODE_MISMATCH
8,57,2.355,0.000,2.355,0,False,36.331,0.682,6.028,0,0,BARCODE_MISMATCH
9,58,75.287,54.869,75.287,0,True,0.050,0.714,3.697,0,0,SUCCESS
10,59,40.335,31.702,40.335,1,False,17.218,0.744,5.986,2,1,COLLISION_FORKLIFT
15,60,22.405,12.677,22.405,0,True,0.050,0.583,2.619,0,0,SUCCESS
6,61,25.988,13.120,25.988,0,True,0.050,0.520,2.397,0,0,SUCCESS
1,65,43.518,42.836,43.518,1,False,28.086,0.866,2.594,0,0,COLLISION_HUMAN
1,66,43.451,42.718,43.451,1,False,28.015,0.879,2.766,1,1,COLLISION_HUMAN
1,68,43.447,42.757,43.447,1,False,28.046,0.757,2.804,1,1,COLLISION_HUMAN
1,70,43.564,42.616,43.564,1,False,27.986,0.775,3.518,0,0,COLLISION_HUMAN
3,71,17.499,11.902,17.499,1,False,27.265,0.618,2.306,1,0,COLLISION_FORKLIFT
1,73,43.463,42.675,43.463,1,False,27.989,0.733,5.141,0,0,COLLISION_HUMAN
2,74,30.936,25.956,30.936,1,False,25.203,0.656,2.912,1,0,COLLISION_FORKLIFT
1,75,43.467,42.640,43.467,1,False,27.970,0.948,2.734,1,1,COLLISION_HUMAN
2,76,30.870,25.994,30.870,1,False,25.204,0.700,3.596,1,1,COLLISION_FORKLIFT
1,77,43.456,42.409,43.456,1,False,27.870,0.488,6.241,1,1,COLLISION_HUMAN
1,79,44.914,42.390,44.914,1,False,27.858,0.758,3.951,2,1,COLLISION_HUMAN
7,80,70.515,56.251,70.515,0,True,0.050,0.703,3.426,1,1,SUCCESS
7,81,69.779,56.384,69.779,0,True,0.050,0.128,4.467,1,1,SUCCESS
1,82,43.299,42.720,43.299,1,False,27.999,0.992,20.000,0,0,COLLISION_HUMAN
1,83,44.770,42.410,44.770,1,False,27.839,0.895,2.505,1,0,COLLISION_HUMAN
1,84,43.435,42.801,43.435,1,False,28.045,0.978,2.734,1,1,COLLISION_HUMAN
1,90,43.461,42.606,43.461,1,False,27.944,0.918,3.763,0,0,COLLISION_HUMAN
1,91,43.461,42.781,43.461,1,False,28.073,0.651,11.434,0,0,COLLISION_HUMAN
1,93,43.399,42.644,43.399,1,False,27.984,1.062,20.000,0,0,COLLISION_HUMAN
1,94,43.371,42.462,43.371,1,False,27.931,0.955,7.305,1,1,COLLISION_HUMAN
1,95,43.755,42.744,43.755,1,False,28.067,0.424,20.000,3,3,COLLISION_HUMAN
1,96,44.439,42.169,44.439,1,False,27.760,0.671,3.706,2,1,COLLISION_HUMAN
1,97,43.449,42.522,43.449,1,False,27.886,1.038,3.426,0,0,COLLISION_HUMAN
1,99,43.477,42.583,43.477,1,False,27.956,1.030,2.875,0,0,COLLISION_HUMAN
1,100,43.415,42.624,43.415,1,False,27.952,1.041,4.640,1,1,COLLISION_HUMAN
1,101,43.466,42.670,43.466,1,False,27.994,0.606,2.939,2,2,COLLISION_HUMAN
1,102,43.423,42.701,43.423,1,False,27.990,0.978,4.894,0,0,COLLISION_HUMAN
1,103,43.482,42.933,43.482,1,False,28.131,0.962,3.222,0,0,COLLISION_HUMAN
1,104,43.517,42.647,43.517,1,False,28.183,0.662,2.636,1,1,COLLISION_HUMAN
1,105,43.777,42.969,43.777,1,False,28.171,0.527,6.671,0,0,COLLISION_HUMAN
1,106,43.510,42.636,43.510,1,False,27.979,0.732,4.493,1,1,COLLISION_HUMAN
1,107,43.482,42.637,43.482,1,False,27.966,0.725,8.996,0,0,COLLISION_HUMAN
1,108,43.398,42.834,43.398,1,False,28.078,0.981,3.895,0,0,COLLISION_HUMAN
1,109,43.452,42.800,43.452,1,False,28.043,0.985,3.780,1,1,COLLISION_HUMAN
1,110,43.393,42.834,43.393,1,False,28.074,0.968,3.886,0,0,COLLISION_HUMAN
1,111,43.407,42.839,43.407,1,False,28.080,1.031,4.991,1,1,COLLISION_HUMAN
1,112,43.377,42.690,43.377,1,False,27.997,0.968,4.041,1,1,COLLISION_HUMAN
1,113,43.324,42.652,43.324,1,False,27.967,0.998,2.846,0,0,COLLISION_HUMAN
1,115,43.430,42.902,43.430,1,False,28.118,1.011,5.133,0,0,COLLISION_HUMAN
1,116,43.398,42.804,43.398,1,False,28.049,1.008,5.010,0,0,COLLISION_HUMAN
1,117,43.451,42.844,43.451,1,False,28.078,0.984,4.154,0,0,COLLISION_HUMAN
1,119,43.432,42.458,43.432,1,False,27.893,0.190,3.300,1,1,COLLISION_HUMAN
1,121,43.784,42.594,43.784,1,False,27.935,0.937,6.395,0,0,COLLISION_HUMAN
1,122,43.439,42.666,43.439,1,False,27.988,0.637,3.007,0,0,COLLISION_HUMAN
1,123,43.446,42.410,43.446,1,False,27.853,0.981,4.396,0,0,COLLISION_HUMAN
1,124,43.380,42.808,43.380,1,False,28.074,0.989,5.071,0,0,COLLISION_HUMAN
1,125,43.407,42.742,43.407,1,False,28.036,1.000,5.742,0,0,COLLISION_HUMAN
1,126,43.492,42.629,43.492,1,False,27.942,1.009,5.720,0,0,COLLISION_HUMAN
1,127,43.549,42.747,43.549,1,False,28.042,0.941,5.705,2,2,COLLISION_HUMAN
1,128,43.459,42.534,43.459,1,False,27.926,0.786,2.580,1,1,COLLISION_HUMAN
4,129,38.839,33.966,38.839,0,False,32.406,0.790,9.857,0,0,WRONG_PLACEMENT
13,130,45.132,41.304,45.132,1,False,12.432,0.821,5.664,2,2,COLLISION_HUMAN
1,131,44.748,42.403,44.748,1,False,27.843,0.953,2.684,2,2,COLLISION_HUMAN
4,132,38.795,33.963,38.795,0,False,32.406,0.894,2.752,0,0,WRONG_PLACEMENT
4,133,38.817,33.990,38.817,0,False,32.406,0.783,8.494,0,0,WRONG_PLACEMENT
