timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,parcel_mass,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1992,4,4,1,5.9457,9.9857,6.2377,9.9997,180,3,"Human(Clone):-8.41:-0.05:-10.01|Forklift(Clone):20.01:0.04:-8.03|Human(Clone):-22.01:0.02:-6.04",-0.0106,1.1873,-0.0042,0.0262,1.5345,-0.0471,1.3552,1.4650,6.7352,7.2809,-24.6178,-13.6427,15.7279,7.0081,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.842|H2:-4.200:0.000:-13.342|H3:-22.000:0.000:-5.842|H4:4.200:0.000:13.342|H5:8.400:0.000:9.842","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.244|F2:20.000:0.000:-7.744","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.842","0.000:0.000:0.800","-4.200:0.000:-13.342","0.000:0.000:0.800","-22.000:0.000:-5.842","0.000:0.000:0.800","4.200:0.000:13.342","0.000:0.000:-0.800","8.400:0.000:9.842","0.000:0.000:-0.800","0.000:0.000:-13.244","0.000:0.000:1.300","20.000:0.000:-7.744","0.000:0.000:1.300",100.000,"Nominal",0.000,1,"NavigateToSource:Forward"
0.3009,4,4,2,6.1287,10.0000,6.9661,9.9739,180,6,"Human(Clone):-4.15:0.01:-13.30|Human(Clone):-8.38:0.04:-9.78|Parcel_1_R1_to_PD1:-10.14:1.16:-13.48|Forklift(Clone):0.01:-0.01:-13.15|Human(Clone):-22.03:0.00:-5.80|Charging Cabinet:23.12:0.66:-12.55",-0.0177,-0.0072,0.1060,-0.0042,1.5753,-0.0031,0.0381,0.0367,1.7703,1.7083,-24.5802,-13.5296,19.7919,1.7393,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.761|H2:-4.200:0.000:-13.261|H3:-22.000:0.000:-5.761|H4:4.200:0.000:13.261|H5:8.400:0.000:9.761","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.112|F2:20.000:0.000:-7.612","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.761","0.000:0.000:0.800","-4.200:0.000:-13.261","0.000:0.000:0.800","-22.000:0.000:-5.761","0.000:0.000:0.800","4.200:0.000:13.261","0.000:0.000:-0.800","8.400:0.000:9.761","0.000:0.000:-0.800","0.000:0.000:-13.112","0.000:0.000:1.300","20.000:0.000:-7.612","0.000:0.000:1.300",99.994,"Nominal",0.000,1,"NavigateToSource:Forward"
0.4035,4,4,3,6.1186,10.0000,7.9229,9.9802,180,5,"Human(Clone):-4.16:0.00:-13.15|Human(Clone):-8.40:-0.03:-9.72|Parcel_1_R1_to_PD1:-10.16:1.16:-13.48|Forklift(Clone):-0.03:0.04:-12.97|Human(Clone):-22.02:-0.04:-5.67",-0.0214,-0.0075,-0.0169,-0.0207,1.5413,-0.0200,0.0431,0.0390,2.1149,1.9146,-24.5001,-13.3974,35.2640,2.0148,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.679|H2:-4.200:0.000:-13.179|H3:-22.000:0.000:-5.679|H4:4.200:0.000:13.179|H5:8.400:0.000:9.679","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.978|F2:20.000:0.000:-7.478","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.679","0.000:0.000:0.800","-4.200:0.000:-13.179","0.000:0.000:0.800","-22.000:0.000:-5.679","0.000:0.000:0.800","4.200:0.000:13.179","0.000:0.000:-0.800","8.400:0.000:9.679","0.000:0.000:-0.800","0.000:0.000:-12.978","0.000:0.000:1.300","20.000:0.000:-7.478","0.000:0.000:1.300",99.992,"Nominal",0.000,1,"NavigateToSource:Forward"
0.5049,4,4,4,5.9722,10.0000,9.3175,8.4619,180,5,"Human(Clone):-4.24:0.02:-13.11|Human(Clone):-8.36:-0.02:-9.62|Parcel_1_R1_to_PD1:-10.14:1.11:-13.49|Forklift(Clone):0.00:-0.01:-12.88|Human(Clone):-21.97:0.01:-5.64",-0.0416,-0.0019,0.0175,-0.0659,1.5828,-0.0252,0.0399,0.0370,1.9258,1.7881,-24.4166,-13.2765,34.7469,1.8569,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.598|H2:-4.200:0.000:-13.098|H3:-22.000:0.000:-5.598|H4:4.200:0.000:13.098|H5:8.400:0.000:9.598","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.846|F2:20.000:0.000:-7.346","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.598","0.000:0.000:0.800","-4.200:0.000:-13.098","0.000:0.000:0.800","-22.000:0.000:-5.598","0.000:0.000:0.800","4.200:0.000:13.098","0.000:0.000:-0.800","8.400:0.000:9.598","0.000:0.000:-0.800","0.000:0.000:-12.846","0.000:0.000:1.300","20.000:0.000:-7.346","0.000:0.000:1.300",99.990,"Nominal",0.000,1,"NavigateToSource:Forward"
0.6054,4,4,5,5.9159,9.9768,9.9990,7.3252,180,5,"Human(Clone):-4.18:0.03:-12.99|Human(Clone):-8.40:0.01:-9.48|Parcel_1_R1_to_PD1:-10.14:1.12:-13.46|Forklift(Clone):-0.02:0.01:-12.73|Human(Clone):-21.99:-0.01:-5.52",0.0338,-0.0657,0.0682,0.0139,1.5358,0.0199,0.0122,0.0397,0.5998,1.9437,-24.3180,-13.1585,46.5843,1.2717,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.517|H2:-4.200:0.000:-13.017|H3:-22.000:0.000:-5.517|H4:4.200:0.000:13.017|H5:8.400:0.000:9.517","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.716|F2:20.000:0.000:-7.216","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.517","0.000:0.000:0.800","-4.200:0.000:-13.017","0.000:0.000:0.800","-22.000:0.000:-5.517","0.000:0.000:0.800","4.200:0.000:13.017","0.000:0.000:-0.800","8.400:0.000:9.517","0.000:0.000:-0.800","0.000:0.000:-12.716","0.000:0.000:1.300","20.000:0.000:-7.216","0.000:0.000:1.300",99.988,"Nominal",0.000,1,"NavigateToSource:Forward"
0.7056,4,4,6,5.8320,9.9991,10.0000,6.5152,180,5,"Human(Clone):-4.17:0.03:-12.94|Human(Clone):-8.39:0.02:-9.47|Parcel_1_R1_to_PD1:-10.15:1.16:-13.47|Forklift(Clone):0.00:-0.02:-12.61|Human(Clone):-21.98:-0.02:-5.48",0.0484,-0.0838,0.0132,-0.0115,1.5314,-0.0077,0.0335,0.0469,1.5874,2.2233,-24.1761,-13.0606,58.5248,1.9053,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.437|H2:-4.200:0.000:-12.937|H3:-22.000:0.000:-5.437|H4:4.200:0.000:12.937|H5:8.400:0.000:9.437","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.585|F2:20.000:0.000:-7.085","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.437","0.000:0.000:0.800","-4.200:0.000:-12.937","0.000:0.000:0.800","-22.000:0.000:-5.437","0.000:0.000:0.800","4.200:0.000:12.937","0.000:0.000:-0.800","8.400:0.000:9.437","0.000:0.000:-0.800","0.000:0.000:-12.585","0.000:0.000:1.300","20.000:0.000:-7.085","0.000:0.000:1.300",99.986,"Nominal",0.000,1,"NavigateToSource:Forward"
0.8077,4,4,7,5.7507,9.9739,9.9924,6.0639,180,4,"Human(Clone):-4.21:0.04:-12.84|Human(Clone):-8.40:-0.01:-9.40|Parcel_1_R1_to_PD1:-10.15:1.16:-13.47|Human(Clone):-22.00:0.01:-5.40",0.0228,0.0162,0.0106,-0.0038,1.4115,0.0188,0.0262,0.0514,1.2702,2.4906,-24.0080,-12.9861,72.1970,1.8804,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.355|H2:-4.200:0.000:-12.855|H3:-22.000:0.000:-5.355|H4:4.200:0.000:12.855|H5:8.400:0.000:9.355","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.453|F2:20.000:0.000:-6.953","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.355","0.000:0.000:0.800","-4.200:0.000:-12.855","0.000:0.000:0.800","-22.000:0.000:-5.355","0.000:0.000:0.800","4.200:0.000:12.855","0.000:0.000:-0.800","8.400:0.000:9.355","0.000:0.000:-0.800","0.000:0.000:-12.453","0.000:0.000:1.300","20.000:0.000:-6.953","0.000:0.000:1.300",99.984,"Nominal",0.000,1,"NavigateToSource:Forward"
0.9088,4,4,8,5.6473,10.0000,9.9782,5.7798,180,3,"Human(Clone):-4.24:-0.02:-12.80|Human(Clone):-8.38:0.04:-9.30|Parcel_1_R1_to_PD1:-10.16:1.14:-13.49",-0.0529,0.0596,-0.0849,0.0044,1.1163,-0.0251,0.0440,0.0425,1.9803,1.9133,-23.8605,-12.9457,76.2307,1.9468,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.275|H2:-4.200:0.000:-12.775|H3:-22.000:0.000:-5.275|H4:4.200:0.000:12.775|H5:8.400:0.000:9.275","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.321|F2:20.000:0.000:-6.821","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.275","0.000:0.000:0.800","-4.200:0.000:-12.775","0.000:0.000:0.800","-22.000:0.000:-5.275","0.000:0.000:0.800","4.200:0.000:12.775","0.000:0.000:-0.800","8.400:0.000:9.275","0.000:0.000:-0.800","0.000:0.000:-12.321","0.000:0.000:1.300","20.000:0.000:-6.821","0.000:0.000:1.300",99.982,"Nominal",0.000,1,"NavigateToSource:Forward"
1.0109,4,4,9,5.5499,9.9816,10.0000,5.6371,180,3,"Human(Clone):-4.19:0.03:-12.67|Human(Clone):-8.39:-0.01:-9.16|Parcel_1_R1_to_PD1:-10.15:1.16:-13.50",0.0062,-0.0919,0.0269,-0.0123,0.8696,-0.0026,0.0352,0.0431,1.5895,1.9449,-23.7498,-12.9287,84.7863,1.7672,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.193|H2:-4.200:0.000:-12.693|H3:-22.000:0.000:-5.193|H4:4.200:0.000:12.693|H5:8.400:0.000:9.193","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.188|F2:20.000:0.000:-6.688","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.193","0.000:0.000:0.800","-4.200:0.000:-12.693","0.000:0.000:0.800","-22.000:0.000:-5.193","0.000:0.000:0.800","4.200:0.000:12.693","0.000:0.000:-0.800","8.400:0.000:9.193","0.000:0.000:-0.800","0.000:0.000:-12.188","0.000:0.000:1.300","20.000:0.000:-6.688","0.000:0.000:1.300",99.980,"Nominal",0.000,1,"NavigateToSource:Forward"
1.1119,4,4,10,5.5382,9.9791,9.0374,5.5542,180,3,"Human(Clone):-4.19:0.01:-12.65|Human(Clone):-8.37:0.03:-9.15|Parcel_1_R1_to_PD1:-10.13:1.14:-13.50",-0.0665,0.0328,0.0066,0.0172,0.7117,0.0220,0.0358,0.0429,1.7073,2.0474,-23.5827,-12.9391,96.9472,1.8774,False,False,"Parcel_1","-10.150:1.150:-13.500","R1","PD1",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.112|H2:-4.200:0.000:-12.612|H3:-22.000:0.000:-5.112|H4:4.200:0.000:12.612|H5:8.400:0.000:9.112","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.057|F2:20.000:0.000:-6.557","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.112","0.000:0.000:0.800","-4.200:0.000:-12.612","0.000:0.000:0.800","-22.000:0.000:-5.112","0.000:0.000:0.800","4.200:0.000:12.612","0.000:0.000:-0.800","8.400:0.000:9.112","0.000:0.000:-0.800","0.000:0.000:-12.057","0.000:0.000:1.300","20.000:0.000:-6.557","0.000:0.000:1.300",99.978,"Nominal",0.000,1,"NavigateToSource:Forward"
