timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,barcode_id,parcel_category,destination_rack_id,destination_slot_id,parcel_mass,empty_slot_count,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage,P1_available,P2_available,P3_available,D1_available,D2_available,D3_available,actor_sample_timestamps,actor_message_ages,actor_link_validity,actor_work_states,station_sample_timestamp,camera_valid,lidar_valid
0.1151,6,30,1,5.8395,6.1003,5.8509,9.9829,180,1,"Parcel_ATD-E1-001_Electronics:-24.78:1.06:15.51",-0.0579,6.0849,-0.0356,0.0107,0.0537,0.0079,0.0392,0.0708,0.4322,0.7802,-23.9965,13.4578,3.7165,0.6062,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",100.000,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.115|H2:0.115|H3:0.115|H4:0.115|H5:0.115|F1:0.115|F2:0.115","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.115",True,True
0.2233,6,30,2,5.8247,6.0930,5.8781,10.0000,180,1,"Parcel_ATD-E1-001_Electronics:-24.77:1.05:15.49",-0.0056,0.0127,1.1207,0.0198,-0.0211,0.0050,0.0029,0.0180,0.1319,0.8079,-23.9905,13.4860,13.5724,0.4699,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.996,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.223|H2:0.223|H3:0.223|H4:0.223|H5:0.223|F1:0.223|F2:0.223","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.223",True,True
0.3414,6,30,3,5.8086,6.0508,5.8435,10.0000,180,1,"Parcel_ATD-E1-001_Electronics:-24.81:1.05:15.46",-0.0202,0.0001,1.1847,0.0072,0.0240,0.0080,0.0025,0.0117,0.1194,0.5530,-23.9752,13.5437,18.3338,0.3362,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.994,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.341|H2:0.341|H3:0.341|H4:0.341|H5:0.341|F1:0.341|F2:0.341","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.341",True,True
0.4542,6,30,4,5.8420,6.0157,5.8621,9.9907,180,1,"Parcel_ATD-E1-001_Electronics:-24.83:1.02:15.53",0.0181,-0.0862,1.0066,0.0161,0.0178,-0.0150,0.0181,0.0198,0.7905,0.8658,-23.9606,13.5797,23.0564,0.8282,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.991,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.454|H2:0.454|H3:0.454|H4:0.454|H5:0.454|F1:0.454|F2:0.454","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.454",True,True
0.5595,6,30,5,5.8471,5.9661,5.8974,9.9963,180,1,"Parcel_ATD-E1-001_Electronics:-24.79:1.03:15.53",-0.0737,0.0061,0.9145,0.0552,-0.0240,0.0268,0.0163,0.0062,0.7047,0.2683,-23.9479,13.6117,20.3321,0.4865,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.989,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.560|H2:0.560|H3:0.560|H4:0.560|H5:0.560|F1:0.560|F2:0.560","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.560",True,True
0.6756,6,30,6,5.8382,5.9310,5.8745,10.0000,180,1,"Parcel_ATD-E1-001_Electronics:-24.79:1.03:15.48",-0.0373,0.0631,0.6442,0.0387,0.0176,-0.0226,0.0424,0.0299,0.9255,0.6531,-23.9230,13.6913,16.7294,0.7893,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.987,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.676|H2:0.676|H3:0.676|H4:0.676|H5:0.676|F1:0.676|F2:0.676","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.676",True,True
0.7902,6,30,7,5.8052,5.8257,5.8207,10.0000,180,1,"Parcel_ATD-E1-001_Electronics:-24.80:1.07:15.50",-0.0468,-0.0021,1.0126,-0.0109,0.0236,-0.0207,0.0014,0.0236,0.0611,1.0602,-23.9114,13.7431,14.9080,0.5606,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.985,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.790|H2:0.790|H3:0.790|H4:0.790|H5:0.790|F1:0.790|F2:0.790","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.790",True,True
0.9089,6,30,8,5.6864,5.6944,5.8719,9.9904,180,1,"Parcel_ATD-E1-001_Electronics:-24.79:1.05:15.46",-0.0579,-0.0096,1.1248,-0.0061,0.0057,-0.0061,0.0189,0.0191,0.8995,0.9104,-23.8813,13.8394,17.5103,0.9049,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.982,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:0.909|H2:0.909|H3:0.909|H4:0.909|H5:0.909|F1:0.909|F2:0.909","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.909",True,True
1.0247,6,30,9,5.5870,5.6315,5.8316,9.9775,180,1,"Parcel_ATD-E1-001_Electronics:-24.79:1.04:15.53",0.0945,-0.0525,1.0219,-0.0151,0.0093,-0.0188,0.0250,0.0195,1.0527,0.8209,-23.8421,13.9376,20.4041,0.9368,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.980,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:1.025|H2:1.025|H3:1.025|H4:1.025|H5:1.025|F1:1.025|F2:1.025","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","1.025",True,True
1.1425,6,30,10,5.4945,5.5250,5.8518,9.9889,180,1,"Parcel_ATD-E1-001_Electronics:-24.83:1.02:15.50",-0.0415,0.0060,1.3009,-0.0085,-0.0295,-0.0247,0.0443,0.0333,1.9398,1.4566,-23.8027,14.0336,20.6631,1.6982,False,False,"Parcel_1","-24.806:1.050:15.504","P3","D1-Electronics","ATD-E1-001","Electronics","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,True,True,True,"H1:-23.000:0.050:12.000|H2:-22.300:0.050:11.000|H3:-21.600:0.050:10.000|H4:-20.900:0.050:9.000|H5:-20.200:0.050:8.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-19.500:0.050:7.000|F2:-18.800:0.050:6.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","-23.000:0.050:12.000","0.000:0.000:0.000","-22.300:0.050:11.000","0.000:0.000:0.000","-21.600:0.050:10.000","0.000:0.000:0.000","-20.900:0.050:9.000","0.000:0.000:0.000","-20.200:0.050:8.000","0.000:0.000:0.000","-19.500:0.050:7.000","0.000:0.000:0.000","-18.800:0.050:6.000","0.000:0.000:0.000",99.978,"Nominal",0.000,1,"NavigateToSource:Forward",True,True,True,True,True,True,"H1:1.142|H2:1.142|H3:1.142|H4:1.142|H5:1.142|F1:1.142|F2:1.142","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","1.142",True,True
