timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,barcode_id,parcel_category,destination_rack_id,destination_slot_id,parcel_mass,empty_slot_count,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage,P1_available,P2_available,P3_available,D1_available,D2_available,D3_available,actor_sample_timestamps,actor_message_ages,actor_link_validity,actor_work_states,station_sample_timestamp,camera_valid,lidar_valid
0.1195,8,56,1,3.6520,10.0000,10.0000,5.8456,180,2,"Parcel_EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01_Healthcare:24.79:1.02:-15.51|Charging Cabinet:23.10:0.66:-12.53",0.0498,5.4739,-0.0162,0.0080,-0.0189,-0.0044,0.0513,0.0432,0.5337,0.4499,24.0003,-16.5555,0.5032,0.4918,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",100.000,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.120|H2:0.120|H3:0.120|H4:0.120|H5:0.120|F1:0.120|F2:0.120","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.120",True,True
0.2295,8,56,2,3.6316,9.9965,9.9994,5.8726,180,2,"Parcel_EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01_Healthcare:24.82:1.09:-15.49|Charging Cabinet:23.09:0.71:-12.56",-0.0251,0.0253,1.1174,0.0286,-0.0023,-0.0109,0.0012,0.0048,0.0455,0.1861,24.0006,-16.5484,0.7137,0.1158,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.996,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.230|H2:0.230|H3:0.230|H4:0.230|H5:0.230|F1:0.230|F2:0.230","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.230",True,True
0.3403,8,56,3,3.6253,9.9893,9.9820,5.8478,180,2,"Parcel_EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01_Healthcare:24.80:1.00:-15.50|Charging Cabinet:23.14:0.72:-12.57",0.0189,0.0406,1.0673,-0.0079,-0.0129,0.0127,-0.0052,0.0159,-0.2475,0.7535,24.0037,-16.5061,7.9698,0.2530,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.994,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.340|H2:0.340|H3:0.340|H4:0.340|H5:0.340|F1:0.340|F2:0.340","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.340",True,True
0.4517,8,56,4,3.5754,9.9847,9.9884,5.8686,180,2,"Parcel_EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01_Healthcare:24.79:1.04:-15.53|Charging Cabinet:23.07:0.72:-12.52",-0.0508,0.0433,0.8408,-0.0161,-0.0200,0.0275,0.0202,-0.0002,0.8396,-0.0103,24.0084,-16.4607,2.9904,0.4147,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.991,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.452|H2:0.452|H3:0.452|H4:0.452|H5:0.452|F1:0.452|F2:0.452","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.452",True,True
0.5534,8,56,5,3.5181,10.0000,10.0000,5.8986,180,2,"Parcel_EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01_Healthcare:24.84:1.05:-15.52|Charging Cabinet:23.08:0.69:-12.53",0.0354,-0.1072,1.3359,0.0047,0.0143,-0.0260,0.0103,0.0177,0.4635,0.8003,24.0053,-16.4118,-3.0437,0.6319,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.989,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.553|H2:0.553|H3:0.553|H4:0.553|H5:0.553|F1:0.553|F2:0.553","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.553",True,True
0.6719,8,56,6,3.4322,10.0000,10.0000,5.8393,180,1,"Charging Cabinet:23.11:0.66:-12.56",0.0165,0.0002,1.2194,-0.0130,-0.0026,-0.0375,-0.0082,0.0060,-0.3807,0.2757,23.9995,-16.3655,-11.0843,-0.0525,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.987,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.672|H2:0.672|H3:0.672|H4:0.672|H5:0.672|F1:0.672|F2:0.672","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.672",True,True
0.7740,8,56,7,3.3765,10.0000,10.0000,5.8584,180,1,"Charging Cabinet:23.10:0.72:-12.57",0.0764,0.0263,0.9886,0.0432,0.0407,-0.0058,0.0236,0.0230,0.9992,0.9749,23.9895,-16.2934,-8.0252,0.9870,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.985,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.774|H2:0.774|H3:0.774|H4:0.774|H5:0.774|F1:0.774|F2:0.774","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.774",True,True
0.8866,8,56,8,3.2851,10.0000,9.9934,5.8848,180,1,"Charging Cabinet:23.11:0.70:-12.57",-0.0288,0.0771,1.0537,-0.0013,0.0264,0.0031,0.0071,0.0328,0.2748,1.2759,23.9810,-16.2091,-3.1136,0.7753,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.983,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.887|H2:0.887|H3:0.887|H4:0.887|H5:0.887|F1:0.887|F2:0.887","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.887",True,True
0.9877,8,56,9,3.2256,10.0000,9.9725,5.8571,180,1,"Charging Cabinet:23.08:0.66:-12.56",-0.0735,0.0443,0.9086,-0.0162,0.0093,-0.0169,0.0041,0.0290,0.1634,1.1530,23.9858,-16.1117,7.4713,0.6582,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.981,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:0.988|H2:0.988|H3:0.988|H4:0.988|H5:0.988|F1:0.988|F2:0.988","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","0.988",True,True
1.0906,8,56,10,3.0632,10.0000,9.9732,5.8313,180,1,"Charging Cabinet:23.09:0.72:-12.52",-0.0288,0.0360,0.8153,-0.0117,0.0325,0.0238,0.0295,0.0422,1.0330,1.4744,24.0010,-15.9922,7.4647,1.2537,False,False,"Parcel_1","24.806:1.050:-15.504","P2","D3-Healthcare","EP0056-P01|DEST:D3-Healthcare|TASK:E3-T01","Healthcare","UNASSIGNED","UNASSIGNED",3.000,4,False,False,False,False,True,True,"H1:9.333:0.050:13.500|H2:-4.200:0.050:-13.500|H3:-24.000:0.050:-15.000|H4:4.200:0.050:13.500|H5:8.400:0.050:10.000","H1:0.000:0.000:0.000|H2:0.000:0.000:0.000|H3:0.000:0.000:0.000|H4:0.000:0.000:0.000|H5:0.000:0.000:0.000","F1:-14.000:0.050:0.000|F2:0.000:0.050:-12.000","F1:0.000:0.000:0.000|F2:0.000:0.000:0.000","9.333:0.050:13.500","0.000:0.000:0.000","-4.200:0.050:-13.500","0.000:0.000:0.000","-24.000:0.050:-15.000","0.000:0.000:0.000","4.200:0.050:13.500","0.000:0.000:0.000","8.400:0.050:10.000","0.000:0.000:0.000","-14.000:0.050:0.000","0.000:0.000:0.000","0.000:0.050:-12.000","0.000:0.000:0.000",99.979,"Nominal",0.000,1,"NavigateToSource:Forward",False,True,True,True,True,True,"H1:1.091|H2:1.091|H3:1.091|H4:1.091|H5:1.091|F1:1.091|F2:1.091","H1:0.000|H2:0.000|H3:0.000|H4:0.000|H5:0.000|F1:0.000|F2:0.000","H1:VALID|H2:VALID|H3:VALID|H4:VALID|H5:VALID|F1:VALID|F2:VALID","H1:H1 rack picking and carton handoff:Load / inspect at source:load=False:handoffs=0|H2:H2 cross-aisle carton transfer:Load / inspect at source:load=False:handoffs=0|H3:H3 station scan and dispatch verification:Load / inspect at source:load=False:handoffs=0|H4:H4 trolley supply transfer:Load / inspect at source:load=False:handoffs=0|H5:H5 rack inspection and replenishment:Load / inspect at source:load=False:handoffs=0|F1:F1 inbound pallet replenishment:Load / inspect at source:load=False:handoffs=0|F2:F2 outbound pallet dispatch:Load / inspect at source:load=False:handoffs=0","1.091",True,True
