timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,parcel_mass,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1003,9,9,1,5.8250,10.0000,5.9513,10.0000,180,0,"",0.0886,6.7879,-0.0495,-0.0270,1.4754,0.0044,1.3885,1.4303,16.1642,16.6508,-24.8530,-13.5983,5.9867,16.4075,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.922|H2:-4.200:0.000:-13.422|H3:-22.000:0.000:-5.922|H4:4.200:0.000:13.422|H5:8.400:0.000:9.922","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.373|F2:20.000:0.000:-7.873","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.922","0.000:0.000:0.800","-4.200:0.000:-13.422","0.000:0.000:0.800","-22.000:0.000:-5.922","0.000:0.000:0.800","4.200:0.000:13.422","0.000:0.000:-0.800","8.400:0.000:9.922","0.000:0.000:-0.800","0.000:0.000:-13.373","0.000:0.000:1.300","20.000:0.000:-7.873","0.000:0.000:1.300",99.998,"Degraded",0.000,1,"NavigateToSource:Forward"
0.2022,9,9,2,5.9869,9.9378,6.2484,9.9495,180,0,"",7.8545,0.0795,-1.7957,-0.0138,1.5446,0.0332,0.0219,0.0295,1.0228,1.3779,-24.8206,-13.4688,18.8834,1.2004,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.840|H2:-4.200:0.000:-13.340|H3:-22.000:0.000:-5.840|H4:4.200:0.000:13.340|H5:8.400:0.000:9.840","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.240|F2:20.000:0.000:-7.740","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.840","0.000:0.000:0.800","-4.200:0.000:-13.340","0.000:0.000:0.800","-22.000:0.000:-5.840","0.000:0.000:0.800","4.200:0.000:13.340","0.000:0.000:-0.800","8.400:0.000:9.840","0.000:0.000:-0.800","0.000:0.000:-13.240","0.000:0.000:1.300","20.000:0.000:-7.740","0.000:0.000:1.300",99.996,"Degraded",0.000,1,"NavigateToSource:Forward"
0.3037,9,9,3,6.1884,10.0000,6.9548,9.9411,180,0,"",-0.0365,0.0748,-0.0765,0.0246,1.5913,-0.0038,0.0202,0.0448,0.9234,2.0446,-24.7567,-13.3329,32.3149,1.4840,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.759|H2:-4.200:0.000:-13.259|H3:-22.000:0.000:-5.759|H4:4.200:0.000:13.259|H5:8.400:0.000:9.759","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-13.109|F2:20.000:0.000:-7.609","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.759","0.000:0.000:0.800","-4.200:0.000:-13.259","0.000:0.000:0.800","-22.000:0.000:-5.759","0.000:0.000:0.800","4.200:0.000:13.259","0.000:0.000:-0.800","8.400:0.000:9.759","0.000:0.000:-0.800","0.000:0.000:-13.109","0.000:0.000:1.300","20.000:0.000:-7.609","0.000:0.000:1.300",99.994,"Degraded",0.000,1,"NavigateToSource:Forward"
0.4043,9,9,4,6.0745,10.0000,7.8455,10.0000,180,0,"",-0.0478,0.0560,-0.0044,0.0104,1.6058,-0.0063,0.0036,0.0332,0.1748,1.6333,-24.6474,-13.1934,46.0297,0.9040,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.679|H2:-4.200:0.000:-13.179|H3:-22.000:0.000:-5.679|H4:4.200:0.000:13.179|H5:8.400:0.000:9.679","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.978|F2:20.000:0.000:-7.478","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.679","0.000:0.000:0.800","-4.200:0.000:-13.179","0.000:0.000:0.800","-22.000:0.000:-5.679","0.000:0.000:0.800","4.200:0.000:13.179","0.000:0.000:-0.800","8.400:0.000:9.679","0.000:0.000:-0.800","0.000:0.000:-12.978","0.000:0.000:1.300","20.000:0.000:-7.478","0.000:0.000:1.300",99.992,"Degraded",0.000,1,"NavigateToSource:Forward"
0.5059,9,9,5,5.8796,9.9141,9.3072,8.6742,180,0,"",0.0184,-0.0301,0.0718,0.0200,1.5740,0.0009,0.0283,0.0362,1.3343,1.7073,-24.5315,-13.1185,61.6603,1.5208,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.597|H2:-4.200:0.000:-13.097|H3:-22.000:0.000:-5.597|H4:4.200:0.000:13.097|H5:8.400:0.000:9.597","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.846|F2:20.000:0.000:-7.346","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.597","0.000:0.000:0.800","-4.200:0.000:-13.097","0.000:0.000:0.800","-22.000:0.000:-5.597","0.000:0.000:0.800","4.200:0.000:13.097","0.000:0.000:-0.800","8.400:0.000:9.597","0.000:0.000:-0.800","0.000:0.000:-12.846","0.000:0.000:1.300","20.000:0.000:-7.346","0.000:0.000:1.300",99.990,"Degraded",0.000,1,"NavigateToSource:Forward"
0.6064,9,9,6,5.8728,9.9927,9.9336,7.5538,180,0,"",0.0196,0.0283,0.0452,0.0278,1.5560,-0.0232,0.0158,0.0204,0.7644,0.9888,-24.3937,-13.0607,72.2808,0.8766,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.517|H2:-4.200:0.000:-13.017|H3:-22.000:0.000:-5.517|H4:4.200:0.000:13.017|H5:8.400:0.000:9.517","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.715|F2:20.000:0.000:-7.215","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.517","0.000:0.000:0.800","-4.200:0.000:-13.017","0.000:0.000:0.800","-22.000:0.000:-5.517","0.000:0.000:0.800","4.200:0.000:13.017","0.000:0.000:-0.800","8.400:0.000:9.517","0.000:0.000:-0.800","0.000:0.000:-12.715","0.000:0.000:1.300","20.000:0.000:-7.215","0.000:0.000:1.300",99.988,"Degraded",0.000,1,"NavigateToSource:Forward"
0.7089,9,9,7,5.7137,9.9631,9.9334,6.6926,180,0,"",0.0936,0.0651,-0.0818,-0.0046,1.6026,0.0302,0.0279,0.0417,1.3301,1.9851,-24.2415,-13.0230,79.5285,1.6576,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.435|H2:-4.200:0.000:-12.935|H3:-22.000:0.000:-5.435|H4:4.200:0.000:12.935|H5:8.400:0.000:9.435","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.582|F2:20.000:0.000:-7.082","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.435","0.000:0.000:0.800","-4.200:0.000:-12.935","0.000:0.000:0.800","-22.000:0.000:-5.435","0.000:0.000:0.800","4.200:0.000:12.935","0.000:0.000:-0.800","8.400:0.000:9.435","0.000:0.000:-0.800","0.000:0.000:-12.582","0.000:0.000:1.300","20.000:0.000:-7.082","0.000:0.000:1.300",99.986,"Degraded",0.000,1,"NavigateToSource:Forward"
0.8107,9,9,8,5.6431,9.9414,10.0000,6.1281,180,0,"",0.0493,-0.0123,-0.0173,-0.0398,1.3887,-0.0271,0.0161,0.0485,0.7238,2.1846,-24.0653,-13.0115,92.2178,1.4542,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.354|H2:-4.200:0.000:-12.854|H3:-22.000:0.000:-5.354|H4:4.200:0.000:12.854|H5:8.400:0.000:9.354","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.449|F2:20.000:0.000:-6.949","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.354","0.000:0.000:0.800","-4.200:0.000:-12.854","0.000:0.000:0.800","-22.000:0.000:-5.354","0.000:0.000:0.800","4.200:0.000:12.854","0.000:0.000:-0.800","8.400:0.000:9.354","0.000:0.000:-0.800","0.000:0.000:-12.449","0.000:0.000:1.300","20.000:0.000:-6.949","0.000:0.000:1.300",99.984,"Degraded",0.000,1,"NavigateToSource:Forward"
0.9111,9,9,9,5.5821,9.9965,9.9621,5.8593,180,0,"",-0.0673,0.0223,-0.0549,-0.0065,1.1124,0.0260,0.0262,0.0064,1.2788,0.3136,-23.9618,-13.0166,92.2423,0.7962,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.273|H2:-4.200:0.000:-12.773|H3:-22.000:0.000:-5.273|H4:4.200:0.000:12.773|H5:8.400:0.000:9.273","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.319|F2:20.000:0.000:-6.819","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.273","0.000:0.000:0.800","-4.200:0.000:-12.773","0.000:0.000:0.800","-22.000:0.000:-5.273","0.000:0.000:0.800","4.200:0.000:12.773","0.000:0.000:-0.800","8.400:0.000:9.273","0.000:0.000:-0.800","0.000:0.000:-12.319","0.000:0.000:1.300","20.000:0.000:-6.819","0.000:0.000:1.300",99.982,"Degraded",0.000,1,"NavigateToSource:Forward"
1.0155,9,9,10,5.4381,10.0000,9.9934,5.5595,180,0,"",-0.0494,0.0007,-0.0117,-0.0053,0.8697,0.0138,0.0390,0.0359,1.8675,1.7180,-23.7644,-13.0404,95.3656,1.7928,False,True,"Parcel_1","6.650:1.150:-13.500","R3","PD3",3.000,False,False,True,True,True,True,"H1:-8.400:0.000:-9.190|H2:-4.200:0.000:-12.690|H3:-22.000:0.000:-5.190|H4:4.200:0.000:12.690|H5:8.400:0.000:9.190","H1:0.000:0.000:0.800|H2:0.000:0.000:0.800|H3:0.000:0.000:0.800|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:0.000:0.000:-12.183|F2:20.000:0.000:-6.683","F1:0.000:0.000:1.300|F2:0.000:0.000:1.300","-8.400:0.000:-9.190","0.000:0.000:0.800","-4.200:0.000:-12.690","0.000:0.000:0.800","-22.000:0.000:-5.190","0.000:0.000:0.800","4.200:0.000:12.690","0.000:0.000:-0.800","8.400:0.000:9.190","0.000:0.000:-0.800","0.000:0.000:-12.183","0.000:0.000:1.300","20.000:0.000:-6.683","0.000:0.000:1.300",99.980,"Degraded",0.000,1,"NavigateToSource:Forward"
