timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
0.1008,10,4,1,8.3756,0.0500,-0.0029,351.9513,0.2671,-68.8431,-24.0000,0.0000,-15.0000,35.6805,7,"","","10.500:0.000:13.500|-4.200:0.000:-13.428|-23.928:0.000:-15.000|23.939:0.000:-14.962|8.400:0.000:9.928","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.888:0.000:14.971","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.2010,10,4,2,8.2695,0.0500,-0.0154,342.9298,1.4775,-106.3126,-24.0000,0.0000,-15.0000,35.5790,7,"","","10.500:0.000:13.500|-4.200:0.000:-13.348|-23.848:0.000:-15.000|23.871:0.000:-14.920|8.400:0.000:9.848","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.761:0.000:14.938","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.3122,10,4,3,8.1038,0.0500,-0.0349,332.9211,1.1226,-67.3538,-24.0000,0.0000,-15.0000,35.4205,7,"","","10.500:0.000:13.500|-4.200:0.000:-13.259|-23.759:0.000:-15.000|23.796:0.000:-14.872|8.400:0.000:9.759","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.622:0.000:14.901","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.4244,10,4,4,7.9368,0.0500,-0.0546,322.8286,1.8338,-110.0281,-24.0000,0.0000,-15.0000,35.2608,7,"","","10.500:0.000:13.500|-4.200:0.000:-13.170|-23.670:0.000:-15.000|23.720:0.000:-14.825|8.400:0.000:9.670","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.481:0.000:14.864","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.5376,10,4,5,7.7681,0.0500,-0.0745,312.6402,1.9389,-116.3331,-24.0000,0.0000,-15.0000,35.0997,7,"","","10.500:0.000:13.500|-4.200:0.000:-13.079|-23.579:0.000:-15.000|23.643:0.000:-14.777|8.400:0.000:9.579","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.338:0.000:14.827","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.6429,10,4,6,7.6112,0.0500,-0.0930,303.1587,0.9129,-54.7760,-24.0000,0.0000,-15.0000,34.9498,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.995|-23.495:0.000:-15.000|23.572:0.000:-14.732|8.400:0.000:9.495","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.206:0.000:14.792","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.7509,10,4,7,7.4504,0.0500,-0.1120,293.8055,1.0865,-59.3491,-24.0000,0.0000,-15.0000,34.7963,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.908|-23.408:0.000:-15.000|23.498:0.000:-14.686|8.400:0.000:9.408","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-23.070:0.000:14.756","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.8567,10,4,8,7.2927,0.0500,-0.1306,286.6039,1.9241,-81.3141,-24.0000,0.0000,-15.0000,34.6459,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.824|-23.324:0.000:-15.000|23.427:0.000:-14.642|8.400:0.000:9.324","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.937:0.000:14.722","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
0.9638,10,4,9,7.1332,0.0500,-0.1494,281.0415,0.9938,-32.5730,-24.0000,0.0000,-15.0000,34.4937,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.738|-23.238:0.000:-15.000|23.354:0.000:-14.596|8.400:0.000:9.238","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.802:0.000:14.686","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.0742,10,4,10,6.9687,0.0500,-0.1688,276.6911,1.9189,-46.6461,-24.0000,0.0000,-15.0000,34.3370,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.650|-23.150:0.000:-15.000|23.279:0.000:-14.549|8.400:0.000:9.150","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.663:0.000:14.650","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.1808,10,4,11,6.8100,0.0500,-0.1875,273.5062,0.9888,-18.5990,-24.0000,0.0000,-15.0000,34.1858,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.564|-23.064:0.000:-15.000|23.207:0.000:-14.504|8.400:0.000:9.064","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.529:0.000:14.615","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.2929,10,4,12,6.6430,0.0500,-0.2072,270.9667,1.0325,-14.1739,-24.0000,0.0000,-15.0000,34.0268,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.475|-22.975:0.000:-15.000|23.131:0.000:-14.457|8.400:0.000:8.975","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.388:0.000:14.578","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.3932,10,4,13,6.4935,0.0500,-0.2248,269.2325,1.0008,-10.6842,-24.0000,0.0000,-15.0000,33.8846,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.395|-22.895:0.000:-15.000|23.063:0.000:-14.414|8.400:0.000:8.895","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.262:0.000:14.545","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.5022,10,4,14,6.3312,0.0500,-0.2440,267.7904,0.9698,-8.0826,-24.0000,0.0000,-15.0000,33.7302,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.307|-22.807:0.000:-15.000|22.989:0.000:-14.368|8.400:0.000:8.807","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-22.125:0.000:14.509","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
1.6103,10,4,15,6.1701,0.0500,-0.2630,266.7042,1.0229,-6.2683,-24.0000,0.0000,-15.0000,33.5770,7,"","","10.500:0.000:13.500|-4.200:0.000:-12.221|-22.721:0.000:-15.000|22.915:0.000:-14.322|8.400:0.000:8.721","0.000:0.000:0.000|0.000:0.000:0.800|0.800:0.000:0.000|-0.678:0.000:0.424|0.000:0.000:-0.800","-10.500:0.000:13.500|-21.989:0.000:14.473","0.000:0.000:0.000|1.258:0.000:-0.329",False,False,Moving,60.00,40.00,3.00,MultiAgentTraffic
