timestamp,scenario_id,episode_id,physical_baseline_outcome,physical_collisions,shadow_outcome,shadow_stage,shadow_progress,context_samples,trusted_states,policy_decisions
171.0910,13,130,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,402,402,402
158.7738,13,134,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,407,407,407
217.5652,13,134,"COLLISION_HUMAN",1,"TASK COMPLETED — DEGRADED LIDAR DOWN-WEIGHTED — DELIVERY VERIFIED","TRUSTED FUSION DELIVERY VERIFIED",1.0000,407,407,407
61.4640,13,137,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,412,412,412
163.7601,13,141,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,416,416,416
222.1382,13,141,"COLLISION_HUMAN",1,"TASK COMPLETED — DEGRADED LIDAR DOWN-WEIGHTED — DELIVERY VERIFIED","TRUSTED FUSION DELIVERY VERIFIED",1.0000,416,416,416
65.9439,13,142,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,394,394,394
128.9551,13,142,"COLLISION_HUMAN",1,"TASK COMPLETED — DEGRADED LIDAR DOWN-WEIGHTED — DELIVERY VERIFIED","TRUSTED FUSION DELIVERY VERIFIED",1.0000,394,394,394
61.8667,13,143,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,403,403,403
58.6761,13,144,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,397,397,397
60.0664,13,145,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,404,404,404
67.9883,13,146,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,376,376,376
133.9759,13,146,"COLLISION_HUMAN",1,"TASK COMPLETED — DEGRADED LIDAR DOWN-WEIGHTED — DELIVERY VERIFIED","TRUSTED FUSION DELIVERY VERIFIED",1.0000,376,376,376
58.7521,13,147,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,386,386,386
113.7552,13,147,"COLLISION_HUMAN",1,"TASK COMPLETED — TAM DECISION APPLIED — PARCEL DELIVERED TO D2","TRUSTED FUSION D2 DELIVERY VERIFIED",1.0000,386,386,386
125.6523,13,148,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,340,340,340
222.0473,13,148,"COLLISION_HUMAN",1,"TASK COMPLETED — TAM DECISION APPLIED — PARCEL DELIVERED TO D2","TRUSTED FUSION D2 DELIVERY VERIFIED",1.0000,340,340,340
93.3432,13,149,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,387,387,387
179.2380,13,149,"COLLISION_HUMAN",1,"TASK COMPLETED — TAM DECISION APPLIED — PARCEL DELIVERED TO D2","TRUSTED FUSION D2 DELIVERY VERIFIED",1.0000,387,387,387
352.6438,13,150,"SUCCESS",0,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,569,569,569
513.0734,13,150,"SUCCESS",0,"TASK COMPLETED — TAM DECISION APPLIED — PARCEL DELIVERED TO D2","TRUSTED FUSION D2 DELIVERY VERIFIED",1.0000,569,569,569
132.5186,13,151,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,358,358,358
227.9311,13,152,"TIMEOUT",0,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,1023,1023,1023
89.0771,13,153,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,339,339,339
166.5462,13,153,"COLLISION_HUMAN",1,"TASK COMPLETED — TAM DECISION APPLIED — PARCEL DELIVERED TO D2","TRUSTED FUSION D2 DELIVERY VERIFIED",1.0000,339,339,339
77.1457,13,154,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,331,331,331
152.1950,13,154,"COLLISION_HUMAN",1,"TASK COMPLETED — TAM DECISION APPLIED — PARCEL DELIVERED TO D2","TRUSTED FUSION D2 DELIVERY VERIFIED",1.0000,331,331,331
71.8906,13,155,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","TRUSTED FUSED-STATE NAVIGATION",0.5500,375,375,375
