timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag,parcel_id,parcel_position,source_id,destination_id,barcode_id,parcel_category,destination_rack_id,destination_slot_id,parcel_mass,empty_slot_count,carrying_status,grasp_status,rack_available,PD1_available,PD2_available,PD3_available,human_positions,human_velocities,forklift_positions,forklift_velocities,h1_position,h1_velocity,h2_position,h2_velocity,h3_position,h3_velocity,h4_position,h4_velocity,h5_position,h5_velocity,f1_position,f1_velocity,f2_position,f2_velocity,battery_level,sensor_status,communication_delay,task_priority,current_task_stage
0.1085,13,1,1,1.8175,10.0000,10.0000,10.0000,180,8,"Human(Clone):10.51:0.00:13.53|Forklift(Clone):-10.52:-0.01:13.51|Parcel staging shelf:-23.04:0.40:14.97|Parcel staging shelf:-11.34:0.40:13.47|Parcel staging shelf:13.23:0.45:13.49|Human(Clone):-24.00:0.03:14.97|Human(Clone):4.21:-0.01:13.52|Human(Clone):8.40:0.00:9.98",0.0528,6.4089,0.0577,0.0067,-1.4432,0.0106,29.1910,29.1287,327.1000,326.4020,-29.5225,13.8071,-8.9221,326.7510,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.419|H3:-23.965:0.000:14.927|H4:4.200:0.000:13.419|H5:8.400:0.000:9.919","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.868","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.419","0.000:0.000:0.800","-23.965:0.000:14.927","0.342:0.000:-0.723","4.200:0.000:13.419","0.000:0.000:-0.800","8.400:0.000:9.919","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.868","0.000:0.000:1.300",99.998,"Nominal",0.000,1,"NavigateToSource:Forward"
0.2124,13,1,2,1.7502,4.1791,5.8702,6.3076,180,8,"Human(Clone):10.52:-0.02:13.54|Forklift(Clone):-10.48:-0.01:13.54|Parcel staging shelf:-23.02:0.40:15.03|Parcel staging shelf:-11.39:0.42:13.48|Parcel staging shelf:13.21:0.42:13.49|Human(Clone):-23.96:-0.01:14.88|Human(Clone):4.23:-0.02:13.38|Human(Clone):8.40:-0.04:9.92",-9.1534,0.0251,-0.6497,-0.0076,-1.5653,0.0241,0.0661,0.0347,1.5634,0.8215,-29.5572,13.9304,-18.3385,1.1924,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.336|H3:-23.930:0.000:14.852|H4:4.200:0.000:13.336|H5:8.400:0.000:9.836","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.733","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.336","0.000:0.000:0.800","-23.930:0.000:14.852","0.342:0.000:-0.723","4.200:0.000:13.336","0.000:0.000:-0.800","8.400:0.000:9.836","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.733","0.000:0.000:1.300",99.996,"Nominal",0.000,1,"NavigateToSource:Forward"
0.3135,13,1,3,1.5500,2.2477,5.8365,2.7055,180,3,"Forklift(Clone):-10.46:0.01:13.50|Parcel staging shelf:-11.37:0.44:13.54|Human(Clone):4.21:0.04:13.25",-0.0071,0.1128,0.0051,-0.0044,-1.5402,-0.0132,0.0273,0.0233,1.2539,1.0690,-29.6018,14.0550,-20.9699,1.1615,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.255|H3:-23.895:0.000:14.779|H4:4.200:0.000:13.255|H5:8.400:0.000:9.755","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.602","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.255","0.000:0.000:0.800","-23.895:0.000:14.779","0.342:0.000:-0.723","4.200:0.000:13.255","0.000:0.000:-0.800","8.400:0.000:9.755","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.602","0.000:0.000:1.300",99.994,"Nominal",0.000,1,"NavigateToSource:Forward"
0.4165,13,1,4,1.5015,1.5937,6.3328,2.4728,180,3,"Forklift(Clone):-10.48:0.04:13.50|Parcel staging shelf:-11.36:0.44:13.52|Human(Clone):4.16:-0.02:13.22",0.0570,-0.0341,0.0443,-0.0335,-1.6097,0.0140,0.0557,0.0355,2.1649,1.3801,-29.6680,14.1859,-29.6552,1.7725,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.173|H3:-23.860:0.000:14.704|H4:4.200:0.000:13.173|H5:8.400:0.000:9.673","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.468","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.173","0.000:0.000:0.800","-23.860:0.000:14.704","0.342:0.000:-0.723","4.200:0.000:13.173","0.000:0.000:-0.800","8.400:0.000:9.673","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.468","0.000:0.000:1.300",99.992,"Nominal",0.000,1,"NavigateToSource:Forward"
0.5189,13,1,5,1.4558,1.9067,2.4212,3.4450,180,2,"Forklift(Clone):-10.53:0.00:13.53|Parcel staging shelf:-11.35:0.44:13.49",0.0078,-0.0209,0.0722,-0.0161,-1.5716,0.0234,0.0484,0.0407,1.8553,1.5578,-29.7628,14.3352,-32.7801,1.7065,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.091|H3:-23.825:0.000:14.630|H4:4.200:0.000:13.091|H5:8.400:0.000:9.591","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.335","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.091","0.000:0.000:0.800","-23.825:0.000:14.630","0.342:0.000:-0.723","4.200:0.000:13.091","0.000:0.000:-0.800","8.400:0.000:9.591","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.335","0.000:0.000:1.300",99.990,"Nominal",0.000,1,"NavigateToSource:Forward"
0.6216,13,1,6,1.2985,5.7552,2.0714,4.6344,180,2,"Forklift(Clone):-10.48:0.02:13.49|Parcel staging shelf:-11.34:0.43:13.46",-0.0488,0.0754,0.0664,0.0108,-1.5526,-0.0198,0.0381,0.0200,1.4242,0.7491,-29.8772,14.5028,-36.8263,1.0867,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-13.008|H3:-23.790:0.000:14.556|H4:4.200:0.000:13.008|H5:8.400:0.000:9.508","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.201","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-13.008","0.000:0.000:0.800","-23.790:0.000:14.556","0.342:0.000:-0.723","4.200:0.000:13.008","0.000:0.000:-0.800","8.400:0.000:9.508","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.201","0.000:0.000:1.300",99.988,"Nominal",0.000,1,"NavigateToSource:Forward"
0.7267,13,1,7,1.3508,4.9686,1.7784,6.3504,180,2,"Forklift(Clone):-10.47:0.02:13.47|Parcel staging shelf:-11.36:0.38:13.49",0.0692,-0.0268,0.0845,0.0320,-1.4267,0.0146,0.0345,0.0161,1.5280,0.7136,-29.9502,14.5904,-43.8282,1.1208,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.924|H3:-23.754:0.000:14.480|H4:4.200:0.000:12.924|H5:8.400:0.000:9.424","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-7.065","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.924","0.000:0.000:0.800","-23.754:0.000:14.480","0.342:0.000:-0.723","4.200:0.000:12.924","0.000:0.000:-0.800","8.400:0.000:9.424","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-7.065","0.000:0.000:1.300",99.986,"Nominal",0.000,1,"NavigateToSource:Forward"
0.8300,13,1,8,1.3787,4.6626,1.8096,9.9962,180,4,"Forklift(Clone):-10.51:-0.02:13.47|Parcel_ATD-APL-0001_Apparel:-23.05:1.04:-15.05|Parcel staging shelf:-11.37:0.45:13.53|Parcel staging shelf:-23.02:0.39:-14.98",-0.0110,0.0476,0.0130,0.0243,-1.0460,0.0032,0.0271,-0.0016,1.1480,-0.0688,-30.0572,14.6849,-54.5873,0.5396,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.842|H3:-23.718:0.000:14.405|H4:4.200:0.000:12.842|H5:8.400:0.000:9.342","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-6.930","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.842","0.000:0.000:0.800","-23.718:0.000:14.405","0.342:0.000:-0.723","4.200:0.000:12.842","0.000:0.000:-0.800","8.400:0.000:9.342","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-6.930","0.000:0.000:1.300",99.984,"Nominal",0.000,1,"NavigateToSource:Forward"
0.9372,13,1,9,1.3854,8.6049,1.5378,9.9538,180,4,"Forklift(Clone):-10.50:-0.04:13.50|Parcel_ATD-APL-0001_Apparel:-23.06:1.04:-15.03|Parcel staging shelf:-11.38:0.45:13.49|Parcel staging shelf:-23.09:0.42:-14.97",0.0385,0.0472,-0.0526,-0.0037,-0.8075,0.0036,0.0433,0.0192,1.9445,0.8632,-30.1935,14.7577,-67.0689,1.4039,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.756|H3:-23.682:0.000:14.328|H4:4.200:0.000:12.756|H5:8.400:0.000:9.256","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-6.791","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.756","0.000:0.000:0.800","-23.682:0.000:14.328","0.342:0.000:-0.723","4.200:0.000:12.756","0.000:0.000:-0.800","8.400:0.000:9.256","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-6.791","0.000:0.000:1.300",99.981,"Nominal",0.000,1,"NavigateToSource:Forward"
1.0391,13,1,10,1.3212,8.7566,1.6870,9.9400,180,5,"Parcel staging shelf:-11.38:0.39:-13.48|Forklift(Clone):-10.48:0.02:13.48|Parcel_ATD-APL-0001_Apparel:-23.08:1.01:-15.01|Parcel staging shelf:-11.32:0.45:13.49|Parcel staging shelf:-23.09:0.40:-15.01",-0.0131,-0.0112,0.0089,-0.0027,-0.6607,0.0143,0.0221,0.0360,1.0553,1.7213,-30.3419,14.8225,-65.7643,1.3883,False,False,"Parcel_1","-23.050:1.050:-15.000","P1","D2-Apparel","ATD-APL-0001","Apparel","Rack_5_3","Rack_5_3-S01",3.000,3,False,False,True,True,True,False,"H1:10.500:0.000:13.500|H2:-4.200:0.000:-12.674|H3:-23.647:0.000:14.254|H4:4.200:0.000:12.674|H5:8.400:0.000:9.174","H1:0.000:0.000:0.000|H2:0.000:0.000:0.800|H3:0.342:0.000:-0.723|H4:0.000:0.000:-0.800|H5:0.000:0.000:-0.800","F1:-10.500:0.000:13.500|F2:20.000:0.000:-6.658","F1:0.000:0.000:0.000|F2:0.000:0.000:1.300","10.500:0.000:13.500","0.000:0.000:0.000","-4.200:0.000:-12.674","0.000:0.000:0.800","-23.647:0.000:14.254","0.342:0.000:-0.723","4.200:0.000:12.674","0.000:0.000:-0.800","8.400:0.000:9.174","0.000:0.000:-0.800","-10.500:0.000:13.500","0.000:0.000:0.000","20.000:0.000:-6.658","0.000:0.000:1.300",99.979,"Nominal",0.000,1,"NavigateToSource:Forward"
