timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
0.1027,18,8,1,-23.9861,0.0500,-13.9722,3.7302,0.6527,40.9949,-22.0000,0.0000,-10.0000,4.4413,2,"","","2.000:0.000:-7.880","0.000:0.000:1.200","-4.000:0.000:-5.800","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.2059,18,8,2,-23.9311,0.0500,-13.8623,8.4163,1.3706,46.0297,-22.0000,0.0000,-10.0000,4.3184,2,"","","2.000:0.000:-7.756","0.000:0.000:1.200","-4.000:0.000:-5.593","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.3071,18,8,3,-23.8633,0.0500,-13.7265,12.4877,1.3421,33.8006,-22.0000,0.0000,-10.0000,4.1667,2,"","","2.000:0.000:-7.635","0.000:0.000:1.200","-4.000:0.000:-5.391","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.4086,18,8,4,-23.7952,0.0500,-13.5903,15.6546,1.4800,29.0541,-22.0000,0.0000,-10.0000,4.0144,2,"","","2.000:0.000:-7.513","0.000:0.000:1.200","-4.000:0.000:-5.188","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.5117,18,8,5,-23.7260,0.0500,-13.4520,18.1432,1.3925,21.1893,-22.0000,0.0000,-10.0000,3.8598,2,"","","2.000:0.000:-7.389","0.000:0.000:1.200","-4.000:0.000:-4.982","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.6144,18,8,6,-23.6571,0.0500,-13.3141,20.0585,1.6585,18.7192,-22.0000,0.0000,-10.0000,3.7056,2,"","","2.000:0.000:-7.266","0.000:0.000:1.200","-4.000:0.000:-4.776","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.7152,18,8,7,-23.5894,0.0500,-13.1789,21.5130,1.5736,13.7832,-22.0000,0.0000,-10.0000,3.5545,2,"","","2.000:0.000:-7.145","0.000:0.000:1.200","-4.000:0.000:-4.575","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.8174,18,8,8,-23.5209,0.0500,-13.0418,22.6562,1.5019,10.2211,-22.0000,0.0000,-10.0000,3.4012,2,"","","2.000:0.000:-7.022","0.000:0.000:1.200","-4.000:0.000:-4.370","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
0.9202,18,8,9,-23.4519,0.0500,-12.9039,23.5448,1.3775,7.2937,-22.0000,0.0000,-10.0000,3.2470,2,"","","2.000:0.000:-6.899","0.000:0.000:1.200","-4.000:0.000:-4.165","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.0220,18,8,10,-23.3836,0.0500,-12.7673,24.2266,1.4481,5.9868,-22.0000,0.0000,-10.0000,3.0943,2,"","","2.000:0.000:-6.777","0.000:0.000:1.200","-4.000:0.000:-3.961","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.1236,18,8,11,-23.3155,0.0500,-12.6311,24.7527,1.4145,4.5382,-22.0000,0.0000,-10.0000,2.9420,2,"","","2.000:0.000:-6.655","0.000:0.000:1.200","-4.000:0.000:-3.758","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.2236,18,8,12,-23.2484,0.0500,-12.4968,25.1553,1.4026,3.4946,-22.0000,0.0000,-10.0000,2.7919,2,"","","2.000:0.000:-6.535","0.000:0.000:1.200","-4.000:0.000:-3.558","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.3252,18,8,13,-23.1802,0.0500,-12.3605,25.4727,1.6635,3.2332,-22.0000,0.0000,-10.0000,2.6395,2,"","","2.000:0.000:-6.413","0.000:0.000:1.200","-4.000:0.000:-3.355","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.4278,18,8,14,-23.1114,0.0500,-12.2228,25.7207,1.3674,2.0679,-22.0000,0.0000,-10.0000,2.4857,2,"","","2.000:0.000:-6.290","0.000:0.000:1.200","-4.000:0.000:-3.150","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.5299,18,8,15,-23.0429,0.0500,-12.0859,25.9115,1.5615,1.8303,-22.0000,0.0000,-10.0000,2.3326,2,"","","2.000:0.000:-6.167","0.000:0.000:1.200","-4.000:0.000:-2.945","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.6322,18,8,16,-22.9743,0.0500,-11.9487,26.0594,1.5617,1.4323,-22.0000,0.0000,-10.0000,2.1793,2,"","","2.000:0.000:-6.045","0.000:0.000:1.200","-4.000:0.000:-2.741","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.7340,18,8,17,-22.9060,0.0500,-11.8120,26.1734,1.4247,0.9629,-22.0000,0.0000,-10.0000,2.0265,2,"","","2.000:0.000:-5.922","0.000:0.000:1.200","-4.000:0.000:-2.537","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.8347,18,8,18,-22.8385,0.0500,-11.6769,26.2608,1.5618,0.8211,-22.0000,0.0000,-10.0000,1.8755,2,"","","2.000:0.000:-5.801","0.000:0.000:1.200","-4.000:0.000:-2.336","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
1.9347,18,8,19,-22.7714,0.0500,-11.5427,26.3283,1.5164,0.6193,-22.0000,0.0000,-10.0000,1.7255,2,"","","2.000:0.000:-5.681","0.000:0.000:1.200","-4.000:0.000:-2.136","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.0372,18,8,20,-22.7026,0.0500,-11.4053,26.3819,1.5766,0.5033,-22.0000,0.0000,-10.0000,1.5720,2,"","","2.000:0.000:-5.559","0.000:0.000:1.200","-4.000:0.000:-1.931","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.1383,18,8,21,-22.6348,0.0500,-11.2696,26.4229,1.4884,0.3692,-22.0000,0.0000,-10.0000,1.4203,2,"","","2.000:0.000:-5.437","0.000:0.000:1.200","-4.000:0.000:-1.729","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.2401,18,8,22,-22.5665,0.0500,-11.1330,26.4549,1.3877,0.2672,-22.0000,0.0000,-10.0000,1.2677,2,"","","2.000:0.000:-5.315","0.000:0.000:1.200","-4.000:0.000:-1.525","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.3414,18,8,23,-22.4985,0.0500,-10.9971,26.4795,1.6252,0.2437,-22.0000,0.0000,-10.0000,1.1159,2,"","","2.000:0.000:-5.193","0.000:0.000:1.200","-4.000:0.000:-1.322","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.4436,18,8,24,-22.4300,0.0500,-10.8601,26.4987,1.6563,0.1930,-22.0000,0.0000,-10.0000,0.9629,2,"","","2.000:0.000:-5.071","0.000:0.000:1.200","-4.000:0.000:-1.118","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.5445,18,8,25,-22.3623,0.0500,-10.7247,26.5134,1.4843,0.1340,-22.0000,0.0000,-10.0000,0.8118,2,"","","2.000:0.000:-4.950","0.000:0.000:1.200","-4.000:0.000:-0.916","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.6451,18,8,26,-22.2950,0.0500,-10.5901,26.5248,1.4116,0.0995,-22.0000,0.0000,-10.0000,0.6616,2,"","","2.000:0.000:-4.829","0.000:0.000:1.200","-4.000:0.000:-0.715","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
2.7478,18,8,27,-22.2316,0.0500,-10.4633,26.5333,1.2693,0.0729,-22.0000,0.0000,-10.0000,0.5204,2,"","","2.000:0.000:-4.706","0.000:0.000:1.200","-4.000:0.000:-0.510","0.000:0.000:2.000",False,False,Moving,60.00,40.00,3.00,StressTest
