timestamp,scenario_id,episode_id,step_id,lidar_min_distance,lidar_front_distance,lidar_left_distance,lidar_right_distance,lidar_measurement_count,camera_detection_count,camera_detected_objects,ax,ay,az,gx,gy,gz,left_wheel_distance,right_wheel_distance,left_wheel_velocity,right_wheel_velocity,estimated_x,estimated_y,estimated_yaw,estimated_velocity,missing_sensor_flag,sensor_dropout_flag
0.1027,18,8,1,5.8154,9.9814,5.8412,9.9725,180,0,"",0.0705,0.0130,-0.0095,-0.0160,0.6869,-0.0037,-0.0014,0.0345,-0.0665,1.6403,-24.9424,-13.5757,11.7117,0.7869,False,False
0.2059,18,8,2,5.8687,9.9419,5.9162,10.0000,180,0,"",0.1359,0.0325,-0.0634,0.0159,0.8716,0.0097,0.0227,0.0327,1.0146,1.4629,-24.9021,-13.4421,20.0228,1.2388,False,False
0.3071,18,8,3,5.9617,10.0000,6.0924,9.9779,180,0,"",-0.0106,0.0462,-0.0200,-0.0018,0.6503,0.0184,0.0261,0.0166,1.2378,0.7891,-24.8515,-13.3401,26.5451,1.0135,False,False
0.4086,18,8,4,6.0704,9.9959,6.2933,9.9702,180,1,"Forklift(Clone):-3.99:0.04:-5.23",0.0678,0.0280,0.0529,0.0024,0.4923,-0.0372,0.0440,0.0428,1.9508,1.8960,-24.7611,-13.1935,34.3804,1.9234,False,False
0.5117,18,8,5,6.1751,10.0000,6.4892,10.0000,180,1,"Forklift(Clone):-4.04:0.01:-5.10",0.0431,-0.0219,-0.0016,0.0221,0.3882,0.0036,0.0294,0.0379,1.3695,1.7667,-24.6703,-13.0733,39.6837,1.5681,False,False
0.6144,18,8,6,6.2222,10.0000,6.5900,9.9951,180,1,"Forklift(Clone):-3.99:0.00:-4.82",0.0661,0.0032,0.0781,0.0161,0.2941,-0.0198,0.0284,0.0335,1.3054,1.5356,-24.5697,-12.9578,41.0100,1.4205,False,False
0.7152,18,8,7,6.3150,9.9627,6.7707,9.9758,180,1,"Forklift(Clone):-4.04:0.00:-4.70",0.0027,-0.1363,0.0642,-0.0205,0.2855,0.0284,0.0411,0.0446,1.8459,2.0034,-24.4840,-12.8726,45.9805,1.9247,False,False
0.8174,18,8,8,6.3487,9.9962,6.9267,9.9429,180,1,"Forklift(Clone):-4.02:-0.03:-4.38",-0.0541,-0.1386,-0.0005,0.0036,0.2097,0.0099,0.0355,0.0234,1.5371,1.0116,-24.3600,-12.7602,44.9945,1.2743,False,False
0.9202,18,8,9,6.4704,9.9741,7.0238,10.0000,180,2,"Human(Clone):2.01:0.01:-6.94|Forklift(Clone):-4.03:0.02:-4.27",0.0150,-0.0155,-0.0771,-0.0124,0.1033,0.0202,0.0315,0.0256,1.4737,1.1984,-24.2542,-12.6621,46.9041,1.3360,False,False
1.0220,18,8,10,6.5256,10.0000,7.1464,10.0000,180,2,"Human(Clone):2.02:0.01:-6.80|Forklift(Clone):-3.97:-0.02:-4.01",-0.0249,0.0428,-0.0611,-0.0039,0.1333,0.0314,0.0285,0.0344,1.2782,1.5427,-24.1558,-12.5817,51.8666,1.4105,False,False
1.1236,18,8,11,6.6282,9.9308,7.3063,9.9916,180,2,"Human(Clone):2.00:0.03:-6.68|Forklift(Clone):-4.01:0.00:-3.87",-0.0545,-0.0490,0.0149,0.0342,0.0472,0.0019,0.0349,0.0208,1.5171,0.9033,-24.0447,-12.5063,55.7549,1.2102,False,False
1.2236,18,8,12,6.6943,10.0000,7.4319,9.9793,180,2,"Human(Clone):2.02:0.00:-6.53|Forklift(Clone):-3.98:0.03:-3.57",-0.0457,0.0405,0.0666,0.0124,0.0520,-0.0064,0.0332,0.0318,1.5434,1.4792,-23.9107,-12.4264,61.5522,1.5113,False,False
1.3252,18,8,13,6.7246,9.9990,7.5186,9.9382,180,2,"Human(Clone):2.01:-0.03:-6.47|Forklift(Clone):-4.01:-0.02:-3.50",-0.0358,0.0427,-0.0423,0.0052,0.0650,-0.0496,0.0390,0.0367,1.7390,1.6363,-23.7732,-12.3585,64.1904,1.6876,False,False
1.4278,18,8,14,6.8174,9.9405,7.6687,9.9737,180,2,"Human(Clone):2.03:0.02:-6.34|Forklift(Clone):-3.98:-0.02:-3.19",-0.0190,0.0665,-0.0371,0.0028,0.0037,0.0156,0.0293,0.0108,1.3381,0.4917,-23.6410,-12.2978,61.8103,0.9149,False,False
1.5299,18,8,15,6.8997,10.0000,7.7373,9.9248,180,2,"Human(Clone):2.02:0.00:-6.20|Forklift(Clone):-4.03:0.00:-3.06",-0.0279,-0.0113,-0.0073,-0.0061,0.0320,-0.0309,0.0444,0.0215,2.1321,1.0320,-23.5046,-12.2269,60.7325,1.5821,False,False
1.6322,18,8,16,6.9455,9.9762,7.7455,9.9378,180,2,"Human(Clone):1.97:0.01:-6.06|Forklift(Clone):-3.96:-0.01:-2.79",-0.0255,0.0589,0.0710,-0.0104,0.0329,-0.0128,0.0320,0.0390,1.5270,1.8633,-23.3401,-12.1283,59.6077,1.6951,False,False
1.7340,18,8,17,7.0168,10.0000,7.8758,10.0000,180,2,"Human(Clone):2.04:-0.02:-6.01|Forklift(Clone):-4.02:0.00:-2.65",0.0512,-0.0152,0.0099,-0.0247,0.0226,-0.0115,0.0330,0.0431,1.4767,1.9252,-23.1888,-12.0392,60.1254,1.7010,False,False
1.8347,18,8,18,7.1213,9.8890,7.9785,9.9309,180,2,"Human(Clone):2.02:0.00:-5.78|Forklift(Clone):-3.99:0.00:-2.41",-0.0135,-0.0867,-0.0603,-0.0074,-0.0201,0.0024,0.0217,0.0296,0.9688,1.3231,-23.0528,-11.9613,60.6259,1.1459,False,False
1.9347,18,8,19,7.1718,10.0000,8.0606,9.9914,180,2,"Human(Clone):2.01:-0.02:-5.78|Forklift(Clone):-4.01:0.02:-2.25",-0.0423,-0.0018,-0.0026,0.0079,0.0289,-0.0015,0.0255,0.0505,1.2194,2.4180,-22.8985,-11.8879,69.1051,1.8187,False,False
2.0372,18,8,20,7.2232,10.0000,8.1533,10.0000,180,2,"Human(Clone):1.96:-0.03:-5.57|Forklift(Clone):-4.00:0.03:-1.94",-0.0183,0.0475,0.0727,-0.0131,0.0061,-0.0320,0.0436,0.0324,2.0697,1.5357,-22.7201,-11.8172,67.8680,1.8027,False,False
2.1383,18,8,21,7.2807,9.9940,8.2238,9.9997,180,2,"Human(Clone):1.99:-0.03:-5.52|Forklift(Clone):-4.00:-0.03:-1.80",-0.0901,0.0349,-0.0792,-0.0256,0.0101,-0.0013,0.0452,0.0306,2.2245,1.5058,-22.5652,-11.7354,60.9509,1.8651,False,False
2.2401,18,8,22,7.3693,9.9928,8.2973,10.0000,180,2,"Human(Clone):1.96:0.01:-5.31|Forklift(Clone):-4.02:-0.01:-1.54",-0.0092,-0.0631,-0.0403,-0.0104,-0.0048,0.0075,0.0294,0.0538,1.3731,2.5140,-22.4552,-11.6766,64.6368,1.9435,False,False
2.3414,18,8,23,7.3977,10.0000,8.3928,9.9709,180,2,"Human(Clone):2.05:0.00:-5.26|Forklift(Clone):-3.99:0.02:-1.43",0.0943,0.0272,-0.0593,0.0178,0.0162,0.0158,0.0280,0.0218,1.3114,1.0214,-22.3059,-11.6118,67.4103,1.1664,False,False
2.4436,18,8,24,7.5208,9.9050,8.4943,9.9941,180,2,"Human(Clone):2.02:-0.05:-5.08|Forklift(Clone):-4.00:-0.03:-1.16",-0.0334,0.0707,0.0149,0.0247,0.0355,0.0395,0.0354,0.0250,1.6664,1.1781,-22.1544,-11.5365,60.5045,1.4223,False,False
2.5445,18,8,25,7.5275,10.0000,8.4909,10.0000,180,2,"Human(Clone):1.99:0.03:-5.00|Forklift(Clone):-3.99:0.03:-1.02",0.0303,-0.0661,-0.0221,-0.0135,-0.0156,-0.0286,0.0297,0.0280,1.4772,1.3952,-22.0395,-11.4692,59.5040,1.4362,False,False
2.6451,18,8,26,7.5741,9.9449,8.5751,10.0000,180,2,"Human(Clone):1.97:0.02:-4.85|Forklift(Clone):-3.98:-0.04:-0.73",0.0332,-0.1040,0.0109,0.0108,0.0141,-0.0003,0.0216,0.0392,1.0054,1.8210,-21.8924,-11.3802,58.3540,1.4132,False,False
2.7478,18,8,27,7.7063,10.0000,8.6915,10.0000,180,2,"Human(Clone):2.01:0.03:-4.75|Forklift(Clone):-4.00:-0.01:-0.60",-0.0385,-0.0077,-0.0139,-0.0237,-0.0047,-0.0110,0.0300,0.0268,1.4615,1.3058,-21.7411,-11.2946,58.8910,1.3836,False,False
2.8492,18,8,28,7.7697,10.0000,8.7256,9.9919,180,2,"Human(Clone):2.01:-0.02:-4.59|Forklift(Clone):-3.98:-0.02:-0.33",-0.0631,-0.0146,0.0247,0.0220,-0.0090,-0.0017,0.0276,0.0361,1.2898,1.6866,-21.6521,-11.2295,53.9710,1.4882,False,False
2.9495,18,8,29,7.8531,10.0000,8.9170,10.0000,180,2,"Human(Clone):2.01:-0.03:-4.48|Forklift(Clone):-4.00:0.03:-0.14",0.0097,0.0642,0.0475,-0.0207,0.8190,-0.0118,0.0380,0.0463,1.8578,2.2640,-21.5418,-11.1556,57.3654,2.0609,False,False
3.0524,18,8,30,7.9618,10.0000,9.3961,9.9765,180,2,"Human(Clone):1.97:0.00:-4.34|Forklift(Clone):-4.00:0.00:0.06",0.0514,-0.0514,0.0196,0.0005,0.3154,-0.0013,0.0349,0.0503,1.6224,2.3383,-21.3628,-11.0657,66.5736,1.9803,False,False
3.1547,18,8,31,8.0414,10.0000,9.6216,10.0000,180,2,"Human(Clone):2.03:-0.02:-4.26|Forklift(Clone):-4.03:0.01:0.19",-0.0549,-0.0248,0.0429,0.0327,-0.1187,0.0158,0.0418,0.0336,1.8986,1.5255,-21.2351,-10.9861,55.4820,1.7120,False,False
3.2554,18,8,32,8.1130,9.9795,9.6349,10.0000,180,2,"Human(Clone):2.02:0.01:-4.07|Forklift(Clone):-3.97:-0.04:0.49",-0.0190,-0.0558,0.1644,0.0113,-0.1139,0.0085,0.0277,0.0285,1.3420,1.3841,-21.1207,-10.9059,54.1383,1.3630,False,False
