update,timesteps,mean_episode_reward,evaluation_reward,success_rate,collision_rate,policy_loss,value_loss,entropy
1,6144,11.079138,11.960627,0.65625,0.34375,-0.0014,56.007897,1.584533
2,12288,11.353932,11.628064,0.648438,0.351562,-0.002894,67.825456,1.570318
3,18432,10.398157,13.797255,0.699219,0.300781,-0.00304,72.558221,1.548356
4,24576,12.145519,12.442446,0.667969,0.332031,-0.003232,69.013228,1.516343
5,30720,11.132474,11.500101,0.644531,0.355469,-0.002889,66.071996,1.479541
6,36864,11.451442,11.982098,0.65625,0.34375,-0.001312,63.291478,1.437123
7,43008,12.598128,10.012653,0.609375,0.390625,-0.001164,54.551556,1.405949
8,49152,13.568574,11.992125,0.65625,0.34375,-0.002135,54.37826,1.385108
9,55296,14.936127,12.322807,0.664062,0.335938,-0.00064,36.413401,1.388639
10,61440,16.617363,11.944738,0.65625,0.34375,-0.002096,39.246815,1.395829
11,67584,17.462751,11.141398,0.636719,0.363281,-0.003251,33.973808,1.350139
12,73728,18.915001,11.148976,0.636719,0.363281,-0.00349,24.236868,1.226772
13,79872,17.880065,11.78422,0.652344,0.347656,-0.00141,49.204548,1.150764
14,86016,18.004238,12.496562,0.667969,0.332031,-0.001532,44.265176,1.119666
15,92160,18.383327,12.486988,0.667969,0.332031,-0.002709,22.966932,1.170779
16,98304,17.918773,23.987568,0.933594,0.066406,-0.001257,30.525623,1.208485
17,104448,19.501405,27.44787,1.0,0.0,-0.002888,19.48844,1.236861
18,110592,20.532717,27.626633,1.0,0.0,-0.001673,18.59941,1.254112
19,116736,20.974295,27.423288,1.0,0.0,-0.005263,6.624458,1.258145
20,122880,21.470419,27.482674,1.0,0.0,-0.003527,23.186592,1.232514
21,129024,21.772018,27.597992,1.0,0.0,-0.002484,22.925108,1.215135
22,135168,22.190408,27.651054,1.0,0.0,-0.002952,9.405235,1.20657
23,141312,22.154863,27.593924,1.0,0.0,-0.001855,15.936317,1.17969
24,147456,22.120303,25.780252,1.0,0.0,-0.002151,22.690092,1.186405
25,153600,22.854823,27.264778,1.0,0.0,-0.004217,5.613923,1.172122
26,159744,23.116313,27.677792,1.0,0.0,-0.001604,8.006536,1.133843
27,165888,23.450983,27.749062,1.0,0.0,-0.003178,11.024822,1.065576
28,172032,23.911148,25.901436,1.0,0.0,-0.002746,16.725249,1.023571
29,178176,23.915101,27.450224,1.0,0.0,-0.001447,9.343725,1.009557
30,184320,23.790309,27.744202,1.0,0.0,-0.001325,14.84769,0.97695
