update,timesteps,policy_accuracy,unsafe_action_rate,policy_loss,value_loss,entropy
1,4096,0.439697,0.0,-0.057289,13.386277,1.541783
2,8192,0.434326,0.0,-0.058533,12.632442,1.492918
3,12288,0.438232,0.0,-0.068148,12.300331,1.377118
4,16384,0.44043,0.0,-0.068256,10.910641,1.194473
5,20480,0.434082,0.0,-0.05162,10.370512,0.978709
6,24576,0.444092,0.0,-0.036731,9.435349,0.780634
7,28672,0.434326,0.0,-0.024365,7.706828,0.640173
8,32768,0.432129,0.0,-0.019725,7.082494,0.516856
9,36864,0.43335,0.0,-0.013856,5.98962,0.427455
10,40960,0.430664,0.0,-0.009728,4.979509,0.357173
11,45056,0.42627,0.0,-0.0048,4.310937,0.306601
12,49152,0.439209,0.0,-0.004403,3.699878,0.264138
13,53248,0.438477,0.0,-0.005122,3.504289,0.229017
14,57344,0.437256,0.0,-0.00477,3.255755,0.197301
15,61440,0.44165,0.0,-0.004087,3.115713,0.170843
16,65536,0.438721,0.0,-0.00161,2.56191,0.14705
17,69632,0.44043,0.0,-0.001926,2.533358,0.136452
18,73728,0.44165,0.0,-0.001926,2.27597,0.123285
19,77824,0.439453,0.0,-0.001599,1.968341,0.116463
20,81920,0.441406,0.0,-0.001074,1.800836,0.105895
21,86016,0.435547,0.0,-0.001122,1.743221,0.097502
22,90112,0.449951,0.0,-0.000804,1.461935,0.087882
23,94208,0.439941,0.0,-0.000629,1.408571,0.082195
24,98304,0.440186,0.0,-0.000535,1.229322,0.083325
25,102400,0.443604,0.0,-0.000242,1.07513,0.081796
26,106496,0.436768,0.0,-0.000409,0.994965,0.083243
27,110592,0.459473,0.0,-0.000508,1.007074,0.081966
28,114688,0.445557,0.0,-0.002025,1.078332,0.07556
29,118784,0.441406,0.0,-0.001045,0.789119,0.07411
30,122880,0.441895,0.0,-0.000862,0.898911,0.073992
31,126976,0.448242,0.0,-0.001004,0.7808,0.074288
32,131072,0.446045,0.0,-0.000562,0.790131,0.076276
33,135168,0.455811,0.0,-0.001919,0.724638,0.083594
34,139264,0.438721,0.0,-0.001649,0.948678,0.086397
35,143360,0.452881,0.0,-0.002072,0.709969,0.089014
36,147456,0.450195,0.0,-0.00191,0.6354,0.098394
37,151552,0.443359,0.0,-0.001401,0.774888,0.113654
38,155648,0.442871,0.0,-0.002321,0.775323,0.131014
39,159744,0.442627,0.0,-0.003554,0.796881,0.151535
40,163840,0.430908,0.0,-0.002669,0.771736,0.168115
41,167936,0.437256,0.0,-0.003354,0.918695,0.18625
42,172032,0.432373,0.0,-0.007822,0.862645,0.216753
43,176128,0.436768,0.0,-0.007782,0.592259,0.247774
44,180224,0.433838,0.0,-0.00798,0.765396,0.27828
45,184320,0.456787,0.0,-0.014755,0.7993,0.329447
46,188416,0.44165,0.0,-0.015374,0.821359,0.377949
47,192512,0.446289,0.0,-0.019779,1.188317,0.433901
48,196608,0.518066,0.0,-0.029347,1.084392,0.499359
49,200704,0.60083,0.0,-0.032169,1.457621,0.525825
