update,timesteps,policy_accuracy,unsafe_action_rate,policy_loss,value_loss,entropy
1,4096,0.182129,0.0,-0.052357,3.467954,1.574543
2,8192,0.174561,0.0,-0.052253,3.45692,1.550707
3,12288,0.595215,0.0,-0.05875,3.689288,1.491872
4,16384,0.530029,0.0,-0.07132,3.920813,1.407504
5,20480,0.521729,0.0,-0.080076,4.00525,1.272227
6,24576,0.51709,0.0,-0.070783,4.051649,1.09491
7,28672,0.525391,0.0,-0.053743,3.438997,0.876321
8,32768,0.521729,0.0,-0.038414,2.851763,0.69888
9,36864,0.522461,0.0,-0.026222,2.441801,0.569631
10,40960,0.506836,0.0,-0.019705,2.01763,0.461655
11,45056,0.508545,0.0,-0.012987,1.64928,0.38696
12,49152,0.525391,0.0,-0.011935,1.445255,0.31851
13,53248,0.51416,0.0,-0.007872,1.202436,0.268276
14,57344,0.523438,0.0,-0.007163,1.040444,0.227959
15,61440,0.510986,0.0,-0.0036,0.920623,0.196422
16,65536,0.522461,0.0,-0.004814,0.857948,0.169754
17,69632,0.508789,0.0,-0.002134,0.729039,0.154321
18,73728,0.527588,0.0,-0.001762,0.639652,0.135808
19,77824,0.528076,0.0,-0.00181,0.657891,0.128183
20,81920,0.518066,0.0,-0.00189,0.593747,0.119025
21,86016,0.516602,0.0,-0.001374,0.545346,0.118842
22,90112,0.523682,0.0,-0.001261,0.502286,0.126564
23,94208,0.51001,0.0,-0.002232,0.55635,0.127821
24,98304,0.514893,0.0,-0.002919,0.507552,0.13021
25,102400,0.542236,0.0,-0.002461,0.557109,0.137521
26,106496,0.518799,0.0,-0.00259,0.595431,0.146209
27,110592,0.521484,0.0,-0.003572,0.548842,0.164796
28,114688,0.533691,0.0,-0.004129,0.609556,0.18103
29,118784,0.513428,0.0,-0.005645,0.542148,0.201103
30,122880,0.511475,0.0,-0.006332,0.590504,0.230696
31,126976,0.507324,0.0,-0.008607,0.6611,0.253572
32,131072,0.522705,0.0,-0.010723,0.611664,0.291378
33,135168,0.515137,0.0,-0.014157,0.65971,0.321357
34,139264,0.516113,0.0,-0.021935,0.672338,0.376614
35,143360,0.523682,0.0,-0.023389,0.901452,0.42926
36,147456,0.614502,0.0,-0.032228,0.905945,0.470836
37,151552,0.76709,0.0,-0.037579,1.037026,0.468526
38,155648,0.818359,0.0,-0.039958,1.032915,0.4213
39,159744,0.807373,0.0,-0.039676,0.992268,0.376049
40,163840,0.817871,0.0,-0.026429,1.066711,0.317224
41,167936,0.822998,0.0,-0.020418,0.877098,0.257557
42,172032,0.838135,0.0,-0.015631,0.740179,0.21231
43,176128,0.813477,0.0,-0.009236,0.946763,0.182332
44,180224,0.809814,0.0,-0.009711,0.81114,0.150082
45,184320,0.818848,0.0,-0.007242,0.773135,0.129523
46,188416,0.813477,0.0,-0.005443,0.727101,0.110465
47,192512,0.820068,0.0,-0.0062,0.768843,0.100644
48,196608,0.818359,0.0,-0.00504,0.725891,0.087356
49,200704,0.813477,0.0,-0.005339,0.593903,0.075389
50,204800,0.822021,0.0,-0.001846,0.567896,0.069402
51,208896,0.824463,0.0,-0.003666,0.682554,0.066265
52,212992,0.822021,0.0,-0.002689,0.56841,0.058984
53,217088,0.816406,0.0,-0.001499,0.554723,0.054966
54,221184,0.807373,0.0,-0.002548,0.537601,0.048186
55,225280,0.826904,0.0,-0.00095,0.527579,0.044972
56,229376,0.825928,0.0,-0.001332,0.513553,0.041414
57,233472,0.824707,0.0,-0.001475,0.508535,0.036764
58,237568,0.812744,0.0,-0.000633,0.503366,0.033124
59,241664,0.821777,0.0,-0.002207,0.59489,0.030788
60,245760,0.82666,0.0,-0.000526,0.511093,0.029539
61,249856,0.825195,0.0,-0.000962,0.501156,0.029608
62,253952,0.829102,0.0,-0.000885,0.471018,0.027857
63,258048,0.817871,0.0,-0.000963,0.497671,0.024212
64,262144,0.814697,0.0,-0.000449,0.502314,0.022209
65,266240,0.815918,0.0,-0.000341,0.483506,0.022401
66,270336,0.82251,0.0,-0.000687,0.501783,0.021385
67,274432,0.822998,0.0,-0.000836,0.456424,0.019491
68,278528,0.822021,0.0,-0.000143,0.473347,0.018006
69,282624,0.80957,0.0,-0.000659,0.496361,0.01796
70,286720,0.832275,0.0,-0.000603,0.454147,0.016606
71,290816,0.812256,0.0,-0.000262,0.489619,0.015652
72,294912,0.819092,0.0,-0.000985,0.507893,0.015712
73,299008,0.818115,0.0,-0.000345,0.472649,0.014798
74,303104,0.824219,0.0,-0.000925,0.49624,0.014984
75,307200,0.820068,0.0,-0.000767,0.484706,0.01547
76,311296,0.815186,0.0,-0.000127,0.484901,0.015548
77,315392,0.819092,0.0,-0.000249,0.462571,0.014681
78,319488,0.812256,0.0,-0.000276,0.463911,0.013499
79,323584,0.830322,0.0,-0.000203,0.475684,0.012546
80,327680,0.827393,0.0,-0.000129,0.469474,0.0116
81,331776,0.818115,0.0,-0.000144,0.451278,0.011259
82,335872,0.812744,0.0,-6.8e-05,0.459433,0.010771
83,339968,0.818115,0.0,-0.000112,0.47471,0.010368
84,344064,0.806396,0.0,-0.000289,0.447324,0.009753
85,348160,0.821777,0.0,-0.000425,0.468144,0.009426
86,352256,0.823975,0.0,-0.000673,0.487906,0.009387
87,356352,0.822754,0.0,-0.000162,0.457175,0.009652
88,360448,0.83667,0.0,-0.000177,0.471886,0.009627
89,364544,0.810791,0.0,-0.000164,0.442821,0.009635
90,368640,0.822021,0.0,-0.00051,0.463915,0.008337
91,372736,0.806152,0.0,-0.000269,0.446263,0.007526
92,376832,0.826416,0.0,1e-06,0.448198,0.007015
93,380928,0.8125,0.0,-0.000174,0.461419,0.007087
94,385024,0.815918,0.0,-0.000401,0.461274,0.007075
95,389120,0.814697,0.0,-0.000157,0.453167,0.006798
96,393216,0.825439,0.0,-6.1e-05,0.443477,0.006273
97,397312,0.830566,0.0,-0.000461,0.479844,0.006158
98,401408,0.812744,0.0,1e-06,0.450755,0.006171
99,405504,0.816162,0.0,-7e-06,0.450317,0.00609
100,409600,0.816895,0.0,-0.000212,0.462695,0.005636
